antecedent,consequent,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,npmi,shared_transactions
3402002,3602002,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
3602002,3402002,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205002,205029,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205029,205002,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205002,205030,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205030,205002,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205002,205031,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205031,205002,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205029,205030,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205030,205029,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205029,205031,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205031,205029,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205030,205031,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
205031,205030,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203009,203013,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203013,203009,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203009,203016,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203016,203009,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203013,203016,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
203016,203013,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
155006,155007,0.00023467567821271003,0.00023467567821271003,0.00023467567821271003,1.0,4261.2,0.00023462060553876542,inf,1.0,5
