owner,article,transaction_frequency,total_quantity
10,161024,10,14.0
10,161035,5,7.0
10,131016,3,737.0
10,061004,3,94.0
10,125063,3,21.799
10,122007,2,650.0
10,186038,1,129.0
10,186035,1,112.0
10,186034,1,88.0
10,186037,1,79.0
10,121044,1,74.0
10,186033,1,70.0
10,121045,1,62.0
10,061011,1,48.0
10,061016,1,48.0
10,186036,1,34.0
10,064005,1,10.0
10,061000,1,8.0
10,065005,1,6.0
10,128026,1,1.0
101,74P,52,5240.0
101,1836BR,49,6051.0
101,DD18C,21,4714.0
101,86P,4,68.0
101,1842BR,1,34.0
101,R9985,1,30.0
101,2436BR,1,16.0
101,1848BR,1,1.0
102,G000347,5,648.0
102,L000002,4,785.0
102,R000001,4,785.0
102,4900000,4,780.0
102,3401002,4,540.0
102,3601002,3,242.0
102,2604010,3,219.0
102,DD18C,3,125.0
102,G000001,3,81.0
102,2604020,3,71.0
102,1836BR,3,64.0
102,86P,3,60.0
102,Y000001,3,31.0
102,4000001,2,640.0
102,3402002,2,105.0
102,3602002,2,70.0
102,3400501,2,56.0
102,1065450,2,41.0
102,3600501,2,41.0
102,1604005,2,14.0
102,T000001,1,100.0
103,G000347,9,375.0
103,2604010,9,140.0
103,L000002,8,523.0
103,R000001,8,483.0
103,3401002,7,294.0
103,2604020,7,74.0
103,3601002,6,161.0
103,74P,6,100.0
103,G000001,6,43.0
103,Y000001,6,28.0
103,654508,6,26.0
103,4000001,4,944.0
103,DD18C,4,281.0
103,3402002,3,85.0
103,3602002,3,65.0
103,1836BR,3,28.0
103,T000001,2,14.0
103,3600501,2,11.0
103,3400501,2,8.0
103,1604005,1,3.0
104,1671445,7,22.0
104,2364251,7,15.0
104,GAV30CM,2,13.0
104,671000A,1,14.0
104,671000B,1,14.0
104,671000C,1,14.0
104,671411A,1,4.0
104,1671408,1,2.0
104,671411B,1,2.0
105,1961870,5,278.0
105,4900000,4,202.0
105,1671445,4,136.0
105,2364254,4,134.0
105,2364251,4,80.0
105,2364253,3,246.0
105,1004309,3,202.0
105,1004310,3,202.0
105,1004311,3,202.0
105,1004312,3,202.0
105,2364255,3,66.0
105,2364256,3,56.0
105,1671000,3,42.0
105,2364252,3,34.0
105,1671408,3,14.0
105,1671411,3,14.0
105,T000001,2,38.0
105,2064270,2,21.0
105,2064271,2,16.0
105,2064206,2,6.0
105,0105001,1,80.0
11,063011,3,1437.0
11,061006,3,1254.0
11,061007,2,1470.0
11,061012,2,1068.0
11,071009,2,801.296
11,063013,2,612.0
11,061011,2,115.0
11,061009,2,108.0
11,062004,2,90.0
11,061031,1,600.0
11,062002,1,589.044
11,063014,1,276.0
11,089114,1,100.0
11,106325,1,100.0
11,123102,1,100.0
11,133185,1,100.0
11,103559,1,25.0
11,102679,1,20.0
11,102682,1,20.0
11,102681,1,10.0
11,103557,1,10.0
111,5MP,8,57.0
111,5MPB,8,57.0
111,63UP,7,112.0
111,9990P,6,855.0
111,DD18C,6,405.0
111,1848BR,6,161.0
111,EH18NC,6,27.0
111,SOM011,4,83.0
111,REBEL 3,3,3.0
111,CARRMED,2,2.0
111,SOM007,1,5.0
12,061053,1,408.0
12,61053,1,408.0
12,122184,1,200.0
12,122185,1,200.0
12,106038,1,75.0
12,31190,1,12.0
12,22210,1,3.0
12,161029,1,1.0
12,161075,1,1.0
14,102156,21,385.0
14,102157,20,411.0
14,102183,19,231.0
14,103035,18,298.0
14,102154,18,271.0
14,103034,17,419.0
14,102199,16,215.0
14,102155,16,205.0
14,103077,16,174.0
14,061005,14,996.0
14,102181,14,253.0
14,114015,14,194.0
14,103083,14,192.0
14,114016,14,191.0
14,103078,14,138.0
14,103036,14,87.0
14,071074,13,338.0
14,129058,13,312.0
14,129059,13,294.0
14,103121,13,252.0
14,107060,13,186.0
14,103129,13,166.0
14,102198,13,140.0
14,131110,12,388.0
14,103132,12,208.0
14,115143,12,193.0
14,107058,12,130.0
14,115142,12,125.0
14,115141,12,95.0
14,129060,11,420.0
14,084011,11,266.0
14,114011,11,184.0
14,103125,11,140.0
14,103081,11,109.0
14,102200,11,96.0
14,102185,11,69.0
14,071090,10,1804.0
14,083103,10,613.0
14,083119,10,330.0
14,131135,10,193.0
14,103122,10,164.0
14,114012,10,161.0
14,131134,10,161.0
14,107056,10,141.0
14,102505,10,139.0
14,114010,10,115.0
14,107057,10,109.0
14,103128,10,102.0
14,103084,10,93.0
14,065003,9,504.0
14,062034,9,502.0
14,121495,9,350.0
14,111010,9,241.0
14,103133,9,213.0
14,103123,9,169.0
14,131131,9,150.0
14,102502,9,115.0
14,133057,9,113.0
14,102203,9,97.0
14,102508,9,95.0
14,103074,9,88.0
14,132008,8,1050.0
14,106032,8,277.0
14,133080,8,194.0
14,143032,8,182.0
14,133055,8,145.0
14,102210,8,111.0
14,102211,8,107.0
14,102202,8,102.0
14,113048,8,80.0
14,115140,8,70.0
14,129072,8,45.0
14,091006,8,26.0
14,133079,8,8.0
14,061016,7,1533.0
14,071007,7,487.0
14,131137,7,417.0
14,083112,7,350.0
14,131130,7,269.0
14,133081,7,241.0
14,111032,7,237.0
14,131136,7,226.0
14,102501,7,175.0
14,111035,7,167.0
14,103124,7,163.0
14,106031,7,152.0
14,111037,7,149.0
14,146087,7,149.0
14,113054,7,109.0
14,133052,7,102.0
14,113050,7,89.0
14,113053,7,87.0
14,113051,7,82.0
14,144011,7,76.0
14,102204,7,72.0
14,072038,6,1563.5
14,065020,6,600.0
14,122025,6,479.0
14,071107,6,444.0
14,062005,6,368.0
14,131132,6,255.0
14,133050,6,118.0
14,129053,6,109.0
14,141138,6,95.0
14,114017,6,89.0
14,133056,6,87.0
14,103126,6,70.0
14,113049,6,69.0
14,102201,6,65.0
14,102509,6,50.0
14,144010,6,42.0
14,091054,6,9.0
14,071126,5,456.0
14,061010,5,432.0
14,062004,5,408.0
14,031046,5,392.0
14,063014,5,382.0
14,062006,5,282.0
14,075010,5,256.2
14,122155,5,232.0
14,083118,5,207.0
14,166033,5,123.0
14,102504,5,106.0
14,103131,5,86.0
14,114014,5,79.0
14,103134,5,78.0
14,141067,5,78.0
14,086104,5,68.0
14,086103,5,65.0
14,103101,5,62.0
14,102205,5,44.0
14,084052,5,37.0
14,113047,5,22.0
14,202010,5,20.0
14,072055,4,916.2
14,018000,4,828.0
14,126115,4,618.0
