line_id,transaction_id,propietario,owner_name,location_actual,location_contrafactual,ahorro_metros_linea_proxy,unidad_analisis,escenario
3814,SG06202625563-01|95,95,INNOVACION,014-111-20,009-004-40,311.8,linea,B_base_recomendado
3812,SG06202625564-01|96,96,NOMBRE,015-034-30,008-001-10,145.3,linea,B_base_recomendado
3813,SG06202625564-01|96,96,NOMBRE,015-090-40,008-001-20,145.3,linea,B_base_recomendado
1780,SG06202625568-01|96,96,NOMBRE,015-014-40,008-005-10,49.3,linea,B_base_recomendado
1781,SG06202625568-01|96,96,NOMBRE,015-011-40,008-005-00,49.3,linea,B_base_recomendado
1782,SG06202625576-01|30,30,EVENTOS COMERCIALES,015-109-30,008-003-30,165.7,linea,B_base_recomendado
1783,SG06202625576-01|30,30,EVENTOS COMERCIALES,015-053-40,008-002-10,165.7,linea,B_base_recomendado
1755,SG06202625582-01|6,6,CRAFT,014-056-20,009-001-40,115.6,linea,B_base_recomendado
1756,SG06202625582-01|6,6,CRAFT,014-056-10,009-001-30,115.6,linea,B_base_recomendado
1758,SG06202625582-01|6,6,CRAFT,018-132-20,009-003-40,115.6,linea,B_base_recomendado
1761,SG06202625582-01|6,6,CRAFT,018-160-10,009-004-00,115.6,linea,B_base_recomendado
1768,SG06202625583-01|6,6,CRAFT,014-056-20,009-001-40,93.5,linea,B_base_recomendado
1769,SG06202625583-01|6,6,CRAFT,014-056-10,009-001-30,93.5,linea,B_base_recomendado
1765,SG06202625584-01|6,6,CRAFT,014-056-20,009-001-40,93.5,linea,B_base_recomendado
1766,SG06202625584-01|6,6,CRAFT,014-056-10,009-001-30,93.5,linea,B_base_recomendado
1762,SG06202625585-01|6,6,CRAFT,010-062-20,009-002-10,155.0,linea,B_base_recomendado
1794,SG06202625589-01|96,96,NOMBRE,015-011-40,008-005-00,91.4,linea,B_base_recomendado
2060,SG06202625591-01|30,30,EVENTOS COMERCIALES,015-044-40,008-005-00,115.3,linea,B_base_recomendado
2061,SG06202625591-01|30,30,EVENTOS COMERCIALES,015-076-20,008-012-00,115.3,linea,B_base_recomendado
1878,SG06202625592-01|95,95,INNOVACION,011-116-20,009-001-00,91.8571,linea,B_base_recomendado
1879,SG06202625592-01|95,95,INNOVACION,011-126-20,009-001-40,91.8571,linea,B_base_recomendado
1880,SG06202625592-01|95,95,INNOVACION,012-036-10,009-001-10,91.8571,linea,B_base_recomendado
1881,SG06202625592-01|95,95,INNOVACION,014-111-30,009-002-10,91.8571,linea,B_base_recomendado
1882,SG06202625592-01|95,95,INNOVACION,014-019-10,009-001-30,91.8571,linea,B_base_recomendado
1883,SG06202625592-01|95,95,INNOVACION,014-066-30,009-001-20,91.8571,linea,B_base_recomendado
1884,SG06202625592-01|95,95,INNOVACION,014-049-40,009-002-20,91.8571,linea,B_base_recomendado
1798,SG06202625594-01|95,95,INNOVACION,011-116-20,009-001-00,91.5143,linea,B_base_recomendado
1799,SG06202625594-01|95,95,INNOVACION,011-126-20,009-001-40,91.5143,linea,B_base_recomendado
1800,SG06202625594-01|95,95,INNOVACION,012-036-10,009-001-10,91.5143,linea,B_base_recomendado
1801,SG06202625594-01|95,95,INNOVACION,014-111-30,009-002-10,91.5143,linea,B_base_recomendado
1802,SG06202625594-01|95,95,INNOVACION,014-019-10,009-001-30,91.5143,linea,B_base_recomendado
1803,SG06202625594-01|95,95,INNOVACION,014-066-30,009-001-20,91.5143,linea,B_base_recomendado
1805,SG06202625594-01|95,95,INNOVACION,014-033-40,009-003-20,91.5143,linea,B_base_recomendado
1809,SG06202625595-01|95,95,INNOVACION,011-116-20,009-001-00,91.5143,linea,B_base_recomendado
1810,SG06202625595-01|95,95,INNOVACION,011-126-20,009-001-40,91.5143,linea,B_base_recomendado
1811,SG06202625595-01|95,95,INNOVACION,012-036-10,009-001-10,91.5143,linea,B_base_recomendado
1813,SG06202625595-01|95,95,INNOVACION,014-111-30,009-002-10,91.5143,linea,B_base_recomendado
1814,SG06202625595-01|95,95,INNOVACION,014-019-10,009-001-30,91.5143,linea,B_base_recomendado
1816,SG06202625595-01|95,95,INNOVACION,014-066-30,009-001-20,91.5143,linea,B_base_recomendado
1817,SG06202625595-01|95,95,INNOVACION,014-033-40,009-003-20,91.5143,linea,B_base_recomendado
1846,SG06202625596-01|95,95,INNOVACION,010-065-08,009-005-30,74.8444,linea,B_base_recomendado
1850,SG06202625596-01|95,95,INNOVACION,011-116-20,009-001-00,74.8444,linea,B_base_recomendado
1852,SG06202625596-01|95,95,INNOVACION,011-121-20,009-004-10,74.8444,linea,B_base_recomendado
1853,SG06202625596-01|95,95,INNOVACION,011-126-20,009-001-40,74.8444,linea,B_base_recomendado
1854,SG06202625596-01|95,95,INNOVACION,014-111-30,009-002-10,74.8444,linea,B_base_recomendado
1855,SG06202625596-01|95,95,INNOVACION,014-019-10,009-001-30,74.8444,linea,B_base_recomendado
1856,SG06202625596-01|95,95,INNOVACION,014-066-30,009-001-20,74.8444,linea,B_base_recomendado
1857,SG06202625596-01|95,95,INNOVACION,014-049-40,009-002-20,74.8444,linea,B_base_recomendado
1858,SG06202625596-01|95,95,INNOVACION,018-130-30,009-002-30,74.8444,linea,B_base_recomendado
1859,SG06202625597-01|95,95,INNOVACION,011-116-20,009-001-00,87.8,linea,B_base_recomendado
1860,SG06202625597-01|95,95,INNOVACION,014-111-30,009-002-10,87.8,linea,B_base_recomendado
1861,SG06202625597-01|95,95,INNOVACION,014-019-10,009-001-30,87.8,linea,B_base_recomendado
1862,SG06202625597-01|95,95,INNOVACION,014-066-30,009-001-20,87.8,linea,B_base_recomendado
1863,SG06202625597-01|95,95,INNOVACION,014-049-40,009-002-20,87.8,linea,B_base_recomendado
1864,SG06202625598-01|95,95,INNOVACION,011-116-20,009-001-00,86.56,linea,B_base_recomendado
1867,SG06202625598-01|95,95,INNOVACION,011-126-20,009-001-40,86.56,linea,B_base_recomendado
1869,SG06202625598-01|95,95,INNOVACION,012-036-10,009-001-10,86.56,linea,B_base_recomendado
1870,SG06202625598-01|95,95,INNOVACION,014-111-30,009-002-10,86.56,linea,B_base_recomendado
1871,SG06202625598-01|95,95,INNOVACION,014-019-10,009-001-30,86.56,linea,B_base_recomendado
1873,SG06202625598-01|95,95,INNOVACION,014-066-30,009-001-20,86.56,linea,B_base_recomendado
1874,SG06202625598-01|95,95,INNOVACION,014-049-40,009-002-20,86.56,linea,B_base_recomendado
1875,SG06202625598-01|95,95,INNOVACION,014-100-10,009-003-30,86.56,linea,B_base_recomendado
1876,SG06202625598-01|95,95,INNOVACION,014-111-20,009-004-40,86.56,linea,B_base_recomendado
1877,SG06202625598-01|95,95,INNOVACION,018-130-30,009-002-30,86.56,linea,B_base_recomendado
1825,SG06202625600-01|95,95,INNOVACION,011-116-20,009-001-00,87.6571,linea,B_base_recomendado
1828,SG06202625600-01|95,95,INNOVACION,011-126-20,009-001-40,87.6571,linea,B_base_recomendado
1830,SG06202625600-01|95,95,INNOVACION,014-111-30,009-002-10,87.6571,linea,B_base_recomendado
1831,SG06202625600-01|95,95,INNOVACION,014-066-30,009-001-20,87.6571,linea,B_base_recomendado
1832,SG06202625600-01|95,95,INNOVACION,014-033-40,009-003-20,87.6571,linea,B_base_recomendado
1833,SG06202625600-01|95,95,INNOVACION,014-049-40,009-002-20,87.6571,linea,B_base_recomendado
1834,SG06202625600-01|95,95,INNOVACION,018-130-30,009-002-30,87.6571,linea,B_base_recomendado
1835,SG06202625601-01|95,95,INNOVACION,010-065-08,009-005-30,85.1,linea,B_base_recomendado
1836,SG06202625601-01|95,95,INNOVACION,011-116-20,009-001-00,85.1,linea,B_base_recomendado
1837,SG06202625601-01|95,95,INNOVACION,011-126-20,009-001-40,85.1,linea,B_base_recomendado
1838,SG06202625601-01|95,95,INNOVACION,014-111-30,009-002-10,85.1,linea,B_base_recomendado
1839,SG06202625601-01|95,95,INNOVACION,014-019-10,009-001-30,85.1,linea,B_base_recomendado
1840,SG06202625601-01|95,95,INNOVACION,014-066-30,009-001-20,85.1,linea,B_base_recomendado
1841,SG06202625601-01|95,95,INNOVACION,014-049-40,009-002-20,85.1,linea,B_base_recomendado
1842,SG06202625601-01|95,95,INNOVACION,018-130-30,009-002-30,85.1,linea,B_base_recomendado
1843,SG06202625602-01|95,95,INNOVACION,011-116-20,009-001-00,91.8571,linea,B_base_recomendado
1844,SG06202625602-01|95,95,INNOVACION,011-126-20,009-001-40,91.8571,linea,B_base_recomendado
1845,SG06202625602-01|95,95,INNOVACION,012-036-10,009-001-10,91.8571,linea,B_base_recomendado
1847,SG06202625602-01|95,95,INNOVACION,014-111-30,009-002-10,91.8571,linea,B_base_recomendado
1848,SG06202625602-01|95,95,INNOVACION,014-019-10,009-001-30,91.8571,linea,B_base_recomendado
