transaction_id,propietario,owner_name,lineas_transaccion,metros_actuales,metros_contrafactuales,ahorro_metros,ahorro_pct,unidad_analisis,escenario
SG06202625563-01|95,95,INNOVACION,1,354.4,42.6,311.8,0.879797,transaccion,B_base_recomendado
SG06202625564-01|96,96,NOMBRE,2,315.0,24.4,290.6,0.92254,transaccion,B_base_recomendado
SG06202625568-01|96,96,NOMBRE,2,132.6,34.0,98.6,0.74359,transaccion,B_base_recomendado
SG06202625576-01|30,30,EVENTOS COMERCIALES,2,360.6,29.2,331.4,0.919024,transaccion,B_base_recomendado
SG06202625582-01|6,6,CRAFT,4,505.0,42.6,462.4,0.915644,transaccion,B_base_recomendado
SG06202625583-01|6,6,CRAFT,2,222.4,35.4,187.0,0.840827,transaccion,B_base_recomendado
SG06202625584-01|6,6,CRAFT,2,222.4,35.4,187.0,0.840827,transaccion,B_base_recomendado
SG06202625585-01|6,6,CRAFT,1,192.8,37.8,155.0,0.803942,transaccion,B_base_recomendado
SG06202625589-01|96,96,NOMBRE,1,125.4,34.0,91.4,0.728868,transaccion,B_base_recomendado
SG06202625591-01|30,30,EVENTOS COMERCIALES,2,281.4,50.8,230.6,0.819474,transaccion,B_base_recomendado
SG06202625592-01|95,95,INNOVACION,7,683.2,40.2,643.0,0.941159,transaccion,B_base_recomendado
SG06202625594-01|95,95,INNOVACION,7,683.2,42.6,640.6,0.937646,transaccion,B_base_recomendado
SG06202625595-01|95,95,INNOVACION,7,683.2,42.6,640.6,0.937646,transaccion,B_base_recomendado
SG06202625596-01|95,95,INNOVACION,9,730.6,57.0,673.6,0.921982,transaccion,B_base_recomendado
SG06202625597-01|95,95,INNOVACION,5,479.2,40.2,439.0,0.91611,transaccion,B_base_recomendado
SG06202625598-01|95,95,INNOVACION,10,910.6,45.0,865.6,0.950582,transaccion,B_base_recomendado
SG06202625600-01|95,95,INNOVACION,7,656.2,42.6,613.6,0.935081,transaccion,B_base_recomendado
SG06202625601-01|95,95,INNOVACION,8,730.6,49.8,680.8,0.931837,transaccion,B_base_recomendado
SG06202625602-01|95,95,INNOVACION,7,683.2,40.2,643.0,0.941159,transaccion,B_base_recomendado
SG06202625603-01|95,95,INNOVACION,2,366.4,40.2,326.2,0.890284,transaccion,B_base_recomendado
SG06202625605-01|95,95,INNOVACION,8,742.6,47.4,695.2,0.93617,transaccion,B_base_recomendado
SG06202625606-01|95,95,INNOVACION,8,718.6,47.4,671.2,0.934038,transaccion,B_base_recomendado
SG06202625607-01|95,95,INNOVACION,2,205.6,37.8,167.8,0.816148,transaccion,B_base_recomendado
SG06202625608-01|95,95,INNOVACION,4,479.2,37.8,441.4,0.921119,transaccion,B_base_recomendado
