propietario,metros_ahorrados,velocidad_o_factor_tiempo,tiempo_ahorrado_horas,escenario
82,43483.4,1.5,8.0525,A_conservador
4,29505.4,1.5,5.464,A_conservador
3,25351.2,1.5,4.6947,A_conservador
23,23855.6,1.5,4.4177,A_conservador
95,17155.0,1.5,3.1769,A_conservador
30,14078.6,1.5,2.6071,A_conservador
96,12200.8,1.5,2.2594,A_conservador
5,10945.8,1.5,2.027,A_conservador
6,9436.0,1.5,1.7474,A_conservador
89,6193.2,1.5,1.1469,A_conservador
62,3690.0,1.5,0.6833,A_conservador
90,3225.2,1.5,0.5973,A_conservador
29,2964.8,1.5,0.549,A_conservador
61,2682.8,1.5,0.4968,A_conservador
86,2307.8,1.5,0.4274,A_conservador
79,1977.8,1.5,0.3663,A_conservador
98,1387.2,1.5,0.2569,A_conservador
12,1306.8,1.5,0.242,A_conservador
24,1101.0,1.5,0.2039,A_conservador
77,708.8,1.5,0.1313,A_conservador
34,569.8,1.5,0.1055,A_conservador
74,452.4,1.5,0.0838,A_conservador
46,327.6,1.5,0.0607,A_conservador
14,325.8,1.5,0.0603,A_conservador
32,192.8,1.5,0.0357,A_conservador
76,46.0,1.5,0.0085,A_conservador
64,42.0,1.5,0.0078,A_conservador
4,46931.2,1.2,10.8637,B_base_recomendado
82,41133.0,1.2,9.5215,B_base_recomendado
23,30163.0,1.2,6.9822,B_base_recomendado
3,28878.8,1.2,6.6849,B_base_recomendado
95,19037.4,1.2,4.4068,B_base_recomendado
30,17260.2,1.2,3.9954,B_base_recomendado
29,16593.6,1.2,3.8411,B_base_recomendado
96,13993.8,1.2,3.2393,B_base_recomendado
6,10698.4,1.2,2.4765,B_base_recomendado
5,10608.6,1.2,2.4557,B_base_recomendado
62,3752.4,1.2,0.8686,B_base_recomendado
89,3000.6,1.2,0.6946,B_base_recomendado
86,2283.8,1.2,0.5287,B_base_recomendado
79,2041.8,1.2,0.4726,B_base_recomendado
61,1611.2,1.2,0.373,B_base_recomendado
98,1179.6,1.2,0.2731,B_base_recomendado
12,1133.2,1.2,0.2623,B_base_recomendado
90,980.0,1.2,0.2269,B_base_recomendado
24,811.6,1.2,0.1879,B_base_recomendado
77,708.8,1.2,0.1641,B_base_recomendado
34,572.2,1.2,0.1325,B_base_recomendado
74,452.4,1.2,0.1047,B_base_recomendado
46,327.6,1.2,0.0758,B_base_recomendado
14,325.8,1.2,0.0754,B_base_recomendado
76,290.0,1.2,0.0671,B_base_recomendado
64,283.6,1.2,0.0656,B_base_recomendado
32,126.8,1.2,0.0294,B_base_recomendado
4,47788.0,0.9,14.7494,C_agresivo
82,45774.6,0.9,14.128,C_agresivo
23,31051.8,0.9,9.5839,C_agresivo
3,30482.0,0.9,9.408,C_agresivo
95,19234.2,0.9,5.9365,C_agresivo
30,18438.6,0.9,5.6909,C_agresivo
29,16696.8,0.9,5.1533,C_agresivo
96,14326.4,0.9,4.4217,C_agresivo
6,10698.4,0.9,3.302,C_agresivo
5,10690.2,0.9,3.2994,C_agresivo
62,3752.4,0.9,1.1581,C_agresivo
89,3000.6,0.9,0.9261,C_agresivo
86,2399.0,0.9,0.7404,C_agresivo
79,2041.8,0.9,0.6302,C_agresivo
61,1613.6,0.9,0.498,C_agresivo
98,1179.6,0.9,0.3641,C_agresivo
12,1135.6,0.9,0.3505,C_agresivo
90,980.0,0.9,0.3025,C_agresivo
24,811.6,0.9,0.2505,C_agresivo
77,713.6,0.9,0.2202,C_agresivo
34,572.2,0.9,0.1766,C_agresivo
74,452.4,0.9,0.1396,C_agresivo
46,327.6,0.9,0.1011,C_agresivo
14,325.8,0.9,0.1006,C_agresivo
76,290.0,0.9,0.0895,C_agresivo
64,283.6,0.9,0.0875,C_agresivo
32,126.8,0.9,0.0391,C_agresivo
