propietario,pasillos_actuales,num_pasillos_actuales,dispersion_actual,posicion_media_actual,picks_2026,lineas_2026
40.0,,0,0.0,0.0,220,238
4.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.3639,82.7,147,373
3.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,1.8752,64.67,130,405
23.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.6928,75.15,108,428
29.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.5385,56.04,82,188
30.0,"6,9,10,11,12,14,15,16,18,20",10,1.2882,45.86,68,351
96.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.2501,61.26,55,190
6.0,"8,9,10,11,12,13,14,15,16,18,19,20",12,1.877,66.05,48,121
95.0,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,1.6734,85.12,45,243
5.0,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2.6021,70.23,42,110
82.0,"6,7,8,9,10,11,12,13,14,15,16,20",12,2.8348,78.56,37,836
62.0,"8,9,10,11,12,13,14,15,16,19",10,2.186,67.55,34,78
89.0,"8,9,10,11,12,13,14,15,16,18,19",11,2.0576,75.06,27,64
90.0,"10,11,12,13,14,15,16,20",8,1.9904,65.56,18,30
61.0,"8,10,12,14,15,16,18,19",8,2.0882,79.46,9,29
34.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.2877,86.58,9,20
79.0,"10,11,12,15,16,20",6,3.2136,72.83,8,10
98.0,"6,7,8,10,11,13,14,18,19,20",10,3.7469,106.8,6,12
24.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,3.0131,64.91,5,7
86.0,"12,15,20",3,0.3788,65.29,4,71
77.0,"8,10,11,12,13,14,15,16,18,19",10,1.6995,78.43,4,24
12.0,"6,7,8,10,11,12,13,14,19,20",10,1.9481,87.21,4,9
64.0,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2.4996,87.69,2,9
14.0,"6,7,8,9,10,11,12,13,14,15,18,19,20",13,3.766,91.13,2,5
74.0,"8,9,10,12,13,14,15,20",8,4.0291,109.35,2,3
76.0,"7,8,9,10,11,12,13,14,19,20",10,3.6217,91.08,2,2
16.0,,0,0.0,0.0,2,2
46.0,14,1,0.0,84.0,1,4
32.0,"8,9,10,11,12,13,14,15,16,20",10,2.2663,70.69,1,1
7.0,,0,0.0,0.0,1,1
87.0,,0,0.0,0.0,1,1
71.0,"9,10,11,12,14,15,16,18,19,20",10,3.2244,88.84,0,0
72.0,"8,9,10,11,12,13,14",7,2.263,97.06,0,0
80.0,"8,9,10,12,13,14,18",7,2.4198,71.74,0,0
37.0,"8,9,19,20",4,4.0247,77.67,0,0
49.0,"10,13,15,19",4,2.1328,132.38,0,0
51.0,"9,10,14,19",4,3.25,97.75,0,0
21.0,"10,13",2,0.7347,114.14,0,0
