propietario,pasillo_objetivo_1,pasillo_objetivo_2,num_pasillos_objetivo,criterio_asignacion,justificacion
3,6,7,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=845 ubicaciones; picks_2026=130; lineas_2026=405
4,6,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=387 ubicaciones; picks_2026=147; lineas_2026=373
23,7,8,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=383 ubicaciones; picks_2026=108; lineas_2026=428
29,8,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=114 ubicaciones; picks_2026=82; lineas_2026=188
30,8,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=103 ubicaciones; picks_2026=68; lineas_2026=351
96,8,9,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=317 ubicaciones; picks_2026=55; lineas_2026=190
5,9,10,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=326 ubicaciones; picks_2026=42; lineas_2026=110
6,9,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=64 ubicaciones; picks_2026=48; lineas_2026=121
95,9,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=163 ubicaciones; picks_2026=45; lineas_2026=243
34,10,11,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=194 ubicaciones; picks_2026=9; lineas_2026=20
61,10,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=35 ubicaciones; picks_2026=9; lineas_2026=29
62,10,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=86 ubicaciones; picks_2026=34; lineas_2026=78
82,10,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=168 ubicaciones; picks_2026=37; lineas_2026=836
89,10,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=54 ubicaciones; picks_2026=27; lineas_2026=64
90,10,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=25 ubicaciones; picks_2026=18; lineas_2026=30
24,11,12,2,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=426 ubicaciones; picks_2026=5; lineas_2026=7
79,11,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=23 ubicaciones; picks_2026=8; lineas_2026=10
98,11,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=70 ubicaciones; picks_2026=6; lineas_2026=12
12,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=34 ubicaciones; picks_2026=4; lineas_2026=9
14,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=220 ubicaciones; picks_2026=2; lineas_2026=5
21,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=7 ubicaciones; picks_2026=0; lineas_2026=0
32,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=26 ubicaciones; picks_2026=1; lineas_2026=1
37,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=18 ubicaciones; picks_2026=0; lineas_2026=0
46,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=2 ubicaciones; picks_2026=1; lineas_2026=4
49,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=16 ubicaciones; picks_2026=0; lineas_2026=0
51,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=4 ubicaciones; picks_2026=0; lineas_2026=0
64,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=74 ubicaciones; picks_2026=2; lineas_2026=9
71,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=19 ubicaciones; picks_2026=0; lineas_2026=0
72,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=17 ubicaciones; picks_2026=0; lineas_2026=0
74,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=31 ubicaciones; picks_2026=2; lineas_2026=3
76,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=66 ubicaciones; picks_2026=2; lineas_2026=2
77,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=53 ubicaciones; picks_2026=4; lineas_2026=24
80,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=27 ubicaciones; picks_2026=0; lineas_2026=0
86,12,,1,"Agrupa por propietario, prioriza los de más rotación hacia expedición y coloca primero las localizaciones más usadas.",footprint=31 ubicaciones; picks_2026=4; lineas_2026=71
