propietario,owner_name,picks_2026,lineas_2026,horas_actuales,horas_contrafactuales,ahorro_horas,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_med_actual,pasillos_tocados_med_contrafactual,cambios_pasillo_med_actual,cambios_pasillo_med_contrafactual,reenganches_med_actual,reenganches_med_contrafactual,fragmentacion_proxy_med_actual,fragmentacion_proxy_med_contrafactual,busqueda_proxy_med_actual,busqueda_proxy_med_contrafactual,maniobra_proxy_med_actual,maniobra_proxy_med_contrafactual,transacciones_h_actual,transacciones_h_contrafactual,lineas_h_actual,lineas_h_contrafactual,uplift_productividad_pct,pasillos_actuales,num_pasillos_actuales,bloques_discontinuos_actuales,amplitud_pasillos_actual,dispersion_actual,pasillos_objetivo,num_pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,escenario
82,BRUTUS DESARROLLO COMERCIAL,37,836,102.43366666666667,10.352362161764253,92.0813045049024,53256.2,9772.8,43483.399999999994,2.27027027027027,1.0,15.216216216216216,0.0,13.945945945945946,0.0,2.081081081081081,0.0,15.216216216216216,0.0,23.10810810810811,5.027027027027027,0.3612093680137715,3.574063525004659,8.161379234040892,80.75451640280798,8.89471437204916,"6,7,8,9,10,11,12,13,14,15,16,20",12,2,13,2.8348,10,1.0,1.0,0.0,A_conservador
3,ALHAMBRA,130,405,48.453944444444446,12.068060899062868,36.385883545381574,34626.8,9275.6,25351.2,1.5615384615384615,1.0,0.7,0.0,0.13846153846153847,0.0,1.4500176923076922,0.5,0.7,0.0,2.753846153846154,2.0538461538461537,2.68296010759358,10.772235994441742,8.35845264288769,33.5596582903762,3.015056341670192,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,1.8752,"6,7",2.0,1.0,1.0,A_conservador
23,MAHOU-MARKETING OCIO,108,428,45.97266666666667,13.695353674951164,32.277312991715505,35536.4,11680.8,23855.6,1.6203703703703705,1.0,0.7592592592592593,0.0,0.1388888888888889,0.0,1.5046453703703704,0.0,0.7592592592592593,0.0,3.5277777777777777,2.7685185185185186,2.3492220014791396,7.885886159882988,9.309879783639554,31.251474781758507,2.3568075536998205,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.6928,"7,8",2.0,1.0,1.0,A_conservador
30,EVENTOS COMERCIALES,68,351,39.784277777777774,9.417913858726488,30.36636391905129,21660.2,7581.6,14078.6,1.838235294117647,1.0,1.1470588235294117,0.0,0.3088235294117647,0.0,1.6544117647058822,0.0,1.1470588235294117,0.0,5.132352941176471,3.4558823529411766,1.7092179071297011,7.220282646458089,8.822580667684193,37.2694001309822,3.224319565305251,"6,9,10,11,12,14,15,16,18,20",10,5,13,1.2882,8,1.0,1.0,0.0,A_conservador
4,NOMBRE,147,373,46.451055555555556,21.945335083152827,24.50572047240273,52619.2,23113.8,29505.4,1.5442176870748299,1.0,0.5986394557823129,0.0,0.05442176870748299,0.0,1.4339285714285714,0.0,0.5986394557823129,0.0,2.129251700680272,1.530612244897959,3.1646213039053053,6.69846231297011,8.0299574582087,16.996778522026197,1.116671054670542,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.3639,6,1.0,1.0,0.0,A_conservador
95,INNOVACION,45,243,22.49561111111111,7.28237710703878,15.21323400407233,21249.6,4094.6,17155.0,2.488888888888889,1.511111111111111,1.6444444444444444,0.7333333333333333,0.15555555555555556,0.2222222222222222,2.2974466666666666,0.7555555555555555,1.6444444444444444,0.7333333333333333,5.7555555555555555,4.844444444444444,2.0003901995697926,6.179300980788987,10.802107077676881,33.36822529626053,2.0890478178297007,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,1.6734,9,1.0,1.0,0.0,A_conservador
96,NOMBRE,55,190,16.88861111111111,5.9389646927646185,10.949646418346493,16879.0,4678.2,12200.8,1.290909090909091,1.0,0.43636363636363634,0.0,0.14545454545454545,0.0,1.1987199999999998,0.5,0.43636363636363634,0.0,2.8181818181818183,2.381818181818182,3.256632510403132,9.260873375288112,11.250185035938092,31.99210802372257,1.843696163354252,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.2501,"8,9",2.0,1.0,1.0,A_conservador
86,GOLF,4,71,9.119444444444444,0.874291914246987,8.245152530197458,2706.2,398.4,2307.8,1.25,1.0,0.5,0.0,0.25,0.0,0.8333499999999999,0.0,0.5,0.0,14.75,10.25,0.43862321047822117,4.575130954339356,7.7855619859884255,81.20857443952356,9.430663141038961,"12,15,20",3,3,7,0.3788,12,1.0,1.0,0.0,A_conservador
5,NOMBRE,42,110,10.3835,2.367485759906148,8.016014240093853,12575.4,1629.6,10945.8,1.619047619047619,1.0,0.6666666666666666,0.0,0.047619047619047616,0.0,1.4945285714285714,0.5,0.6666666666666666,0.0,1.9047619047619047,1.2380952380952381,4.044878894399769,17.740339017568143,10.593730437713681,46.46279266505942,3.3858764330694946,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,2,12,2.6021,"9,10",2.0,1.0,1.0,A_conservador
29,MAHOU FUTBOL,82,188,19.768722222222223,14.823665986999199,4.945056235223023,19451.2,16486.4,2964.8,1.2682926829268293,1.0,0.2804878048780488,0.0,0.012195121951219513,0.0,1.1777195121951218,0.0,0.2804878048780488,0.0,1.5731707317073171,1.2926829268292683,4.147966625168265,5.531695065978718,9.5099722625809,12.682422834195108,0.33359198996793293,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.5385,8,1.0,1.0,0.0,A_conservador
89,BRAND MANAGEMENT MERCADO,27,64,5.610944444444445,2.142038518001847,3.468905926442597,8187.0,1993.8,6193.2,1.1481481481481481,1.0,0.2222222222222222,0.0,0.07407407407407407,0.0,1.0437814814814816,0.0,0.2222222222222222,0.0,1.4444444444444444,1.2222222222222223,4.812024119528303,12.604815353734324,11.406279394437458,29.87808083848136,1.619441432677172,"8,9,10,11,12,13,14,15,16,18,19",11,2,10,2.0576,10,1.0,1.0,0.0,A_conservador
6,CRAFT,48,121,6.328777777777778,3.5214740287410407,2.807303749036737,12445.6,3009.6,9436.0,1.6875,1.0,0.6875,0.0,0.0,0.0,1.5468645833333332,0.0,0.6875,0.0,2.125,1.4375,7.584402816060675,13.63065568799905,19.119015432152953,34.360611213497606,0.7971956419739303,"8,9,10,11,12,13,14,15,16,18,19,20",12,2,11,1.877,9,1.0,1.0,0.0,A_conservador
