transaction_id,propietario,owner_name,lineas_transaccion,picks_2026_owner,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_actual,pasillos_tocados_contrafactual,cambios_pasillo_actual,cambios_pasillo_contrafactual,stops_actual,stops_contrafactual,reenganches_ruta_actual,reenganches_ruta_contrafactual,num_pasillos_owner_actual,num_pasillos_owner_contrafactual,bloques_owner_actual,bloques_owner_contrafactual,amplitud_owner_actual,amplitud_owner_contrafactual,owner_fragment_proxy_actual,owner_fragment_proxy_contrafactual,bloque_discontinuo_proxy_actual,bloque_discontinuo_proxy_contrafactual,search_events_actual,search_events_contrafactual,maneuver_events_actual,maneuver_events_contrafactual,observed_duration_sec,model_seconds_actual,model_seconds_contrafactual,escenario,seconds_meters_actual,seconds_aisle_change_actual,seconds_stop_actual,seconds_owner_fragment_actual,seconds_discontinuous_block_actual,seconds_search_actual,seconds_maneuver_actual,seconds_return_route_actual,seconds_meters_contrafactual,seconds_aisle_change_contrafactual,seconds_stop_contrafactual,seconds_owner_fragment_contrafactual,seconds_discontinuous_block_contrafactual,seconds_search_contrafactual,seconds_maneuver_contrafactual,seconds_return_route_contrafactual,calibration_factor,tiempo_actual_total_sec,tiempo_contrafactual_total_sec,ahorro_tiempo_sec,tiempo_actual_total_h,tiempo_contrafactual_total_h,ahorro_tiempo_h,seconds_meters_actual_calibrado,seconds_meters_contrafactual_calibrado,delta_seconds_meters,seconds_aisle_change_actual_calibrado,seconds_aisle_change_contrafactual_calibrado,delta_seconds_aisle_change,seconds_stop_actual_calibrado,seconds_stop_contrafactual_calibrado,delta_seconds_stop,seconds_owner_fragment_actual_calibrado,seconds_owner_fragment_contrafactual_calibrado,delta_seconds_owner_fragment,seconds_discontinuous_block_actual_calibrado,seconds_discontinuous_block_contrafactual_calibrado,delta_seconds_discontinuous_block,seconds_search_actual_calibrado,seconds_search_contrafactual_calibrado,delta_seconds_search,seconds_maneuver_actual_calibrado,seconds_maneuver_contrafactual_calibrado,delta_seconds_maneuver,seconds_return_route_actual_calibrado,seconds_return_route_contrafactual_calibrado,delta_seconds_return_route
SG06202625633-01|3,3,ALHAMBRA,2,1,223.8,85.4,138.4,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,1671.0,271.2757,119.67,A_conservador,234.99,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,89.67,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,1671.0,324.1943228387986,1346.8056771612014,0.46416666666666667,0.09005397856633295,0.3741126881003337,636.6041942332188,242.9222439120504,393.6819503211684,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SG06202625667-01|3,3,ALHAMBRA,2,1,207.0,80.6,126.4,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,1311.0,253.6357,114.63,A_conservador,217.35,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,84.63,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,1311.0,310.5406135791049,1000.459386420895,0.3641666666666667,0.08626128154975136,0.2779053851169153,588.8162118242907,229.26853465235666,359.547677171934,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SG06202625697-01|3,3,ALHAMBRA,2,1,300.6,90.2,210.4,1,1,0,0,2,2,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,1.0,1.0,1868.8,351.9157,124.71,A_conservador,315.63,0.0,13.0,11.1429,1.1429,0.0,11.0,0.0,94.71,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,1868.8,337.8480320984923,1530.9519679015077,0.5191111111111111,0.09384667558291453,0.4252644355281966,855.0635423883178,256.57595317174406,598.4875892165737,0.0,0.0,0.0,35.21790086825756,35.21790086825756,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,29.79976227314101,29.79976227314101,0.0,0.0,0.0,0.0
SG06202625724-01|3,3,ALHAMBRA,1,1,168.6,78.2,90.4,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,201.0,195.8157,94.61,A_conservador,177.03,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,82.11,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,201.0,256.30504624198824,-55.30504624198824,0.05583333333333333,0.07119584617833007,-0.015362512844996732,479.58653774674116,222.44168002250984,257.1448577242313,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG06202625726-03|3,3,ALHAMBRA,7,1,375.0,102.2,272.8,1,1,0,0,7,7,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,6.0,6.0,2448.0,517.5357,224.81,A_conservador,393.75,0.0,45.5,11.1429,1.1429,0.0,66.0,0.0,107.31,0.0,45.5,6.0,0.0,0.0,66.0,0.0,2.7090692975582735,2448.0,609.0258687840754,1838.9741312159244,0.68,0.16917385244002095,0.510826147559979,1066.6960359135703,290.71022632097834,775.985809592592,0.0,0.0,0.0,123.26265303890145,123.26265303890145,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,178.79857363884605,178.79857363884605,0.0,0.0,0.0,0.0
SG06202625731-01|3,3,ALHAMBRA,1,1,286.2,90.2,196.0,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,1191.0,319.2957,107.21,A_conservador,300.51,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,94.71,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,1191.0,290.4393193912225,900.5606806087775,0.3308333333333333,0.08067758871978403,0.2501557446135493,814.1024146092368,256.57595317174406,557.5264614374928,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG06202625736-01|3,3,ALHAMBRA,1,1,377.4,92.6,284.8,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,285.0,415.0557,109.73,A_conservador,396.27,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,97.23,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,285.0,297.2661740210694,-12.26617402106939,0.07916666666666666,0.08257393722807484,-0.003407270561408164,1073.522890543417,263.40280780159094,810.120082741826,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG06202625737-01|3,3,ALHAMBRA,1,1,286.2,90.2,196.0,1,1,0,0,1,1,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,0.0,0.0,336.0,319.2957,107.21,A_conservador,300.51,0.0,6.5,11.1429,1.1429,0.0,0.0,0.0,94.71,0.0,6.5,6.0,0.0,0.0,0.0,0.0,2.7090692975582735,336.0,290.4393193912225,45.56068060877749,0.09333333333333334,0.08067758871978403,0.012655744613549302,814.1024146092368,256.57595317174406,557.5264614374928,0.0,0.0,0.0,17.60895043412878,17.60895043412878,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG06202625748-01|3,3,ALHAMBRA,4,1,492.6,99.8,392.8,1,1,0,0,4,4,0,0,14,2,2,1,13,1,0.9286,0.5,0.0714,0.0,0.0,0.0,3.0,3.0,2175.0,588.5157,169.79,A_conservador,517.23,0.0,26.0,11.1429,1.1429,0.0,33.0,0.0,104.79,0.0,26.0,6.0,0.0,0.0,33.0,0.0,2.7090692975582735,2175.0,459.97287603241926,1715.0271239675808,0.6041666666666666,0.1277702433423387,0.476396423324328,1401.211912776066,283.8833716911315,1117.3285410849344,0.0,0.0,0.0,70.43580173651512,70.43580173651512,0.0,30.186888275762083,16.254415785349643,13.93247249041244,3.096195300179351,0.0,3.096195300179351,0.0,0.0,0.0,89.39928681942303,89.39928681942303,0.0,0.0,0.0,0.0
SG22202625567-02|3,3,ALHAMBRA,2,1,366.0,63.8,302.2,2,1,1,0,2,2,0,0,14,2,2,1,13,1,1.8571,0.5,0.1429,0.0,1.0,0.0,2.0,1.0,457.0,472.8714,96.99,A_conservador,384.3,20.0,13.0,22.2857,2.2857,9.0,22.0,0.0,66.99,0.0,13.0,6.0,0.0,0.0,11.0,0.0,2.7090692975582735,457.0,262.7526311701769,194.24736882982307,0.12694444444444444,0.07298684199171582,0.05395760245272863,1041.0953310516445,181.48055224342872,859.6147788082158,54.18138595116547,0.0,54.18138595116547,35.21790086825756,35.21790086825756,0.0,60.37350564459441,16.254415785349643,44.11908985924477,6.192119693428945,0.0,6.192119693428945,24.38162367802446,0.0,24.38162367802446,59.59952454628202,29.79976227314101,29.79976227314101,0.0,0.0,0.0
