propietario,pasillo,ubicaciones
3.0,6.0,7
3.0,7.0,20
3.0,8.0,79
3.0,9.0,53
3.0,10.0,54
3.0,11.0,72
3.0,12.0,354
3.0,13.0,22
3.0,14.0,48
3.0,15.0,46
3.0,16.0,9
3.0,18.0,23
3.0,19.0,30
3.0,20.0,28
4.0,6.0,2
4.0,7.0,3
4.0,8.0,14
4.0,9.0,13
4.0,10.0,24
4.0,11.0,33
4.0,12.0,47
4.0,13.0,65
4.0,14.0,24
4.0,15.0,74
4.0,16.0,31
4.0,18.0,10
4.0,19.0,20
4.0,20.0,27
5.0,7.0,7
5.0,8.0,21
5.0,9.0,31
5.0,10.0,42
5.0,11.0,39
5.0,12.0,34
5.0,13.0,47
5.0,14.0,32
5.0,15.0,15
5.0,16.0,11
5.0,18.0,10
5.0,19.0,7
5.0,20.0,30
6.0,8.0,1
6.0,9.0,2
6.0,10.0,4
6.0,11.0,11
6.0,12.0,4
6.0,13.0,7
6.0,14.0,23
6.0,15.0,2
6.0,16.0,1
6.0,18.0,6
6.0,19.0,1
6.0,20.0,2
12.0,6.0,1
12.0,7.0,1
12.0,8.0,1
12.0,10.0,2
12.0,11.0,10
12.0,12.0,5
12.0,13.0,1
12.0,14.0,11
12.0,19.0,1
12.0,20.0,1
14.0,6.0,2
14.0,7.0,3
14.0,8.0,8
14.0,9.0,6
14.0,10.0,77
14.0,11.0,2
14.0,12.0,3
14.0,13.0,8
14.0,14.0,27
14.0,15.0,1
14.0,18.0,2
14.0,19.0,27
14.0,20.0,54
21.0,10.0,1
21.0,13.0,6
23.0,6.0,3
23.0,7.0,16
23.0,8.0,35
23.0,9.0,13
23.0,10.0,25
23.0,11.0,62
23.0,12.0,49
23.0,13.0,43
23.0,14.0,37
23.0,15.0,23
23.0,16.0,18
23.0,18.0,14
23.0,19.0,15
23.0,20.0,30
24.0,6.0,9
24.0,7.0,144
24.0,8.0,105
24.0,9.0,3
24.0,10.0,2
24.0,11.0,19
24.0,12.0,18
24.0,13.0,50
24.0,14.0,44
24.0,15.0,5
24.0,16.0,3
24.0,18.0,9
24.0,19.0,5
24.0,20.0,10
29.0,6.0,1
29.0,7.0,2
29.0,8.0,7
29.0,9.0,4
29.0,10.0,4
29.0,11.0,26
29.0,12.0,5
29.0,13.0,10
29.0,14.0,7
29.0,15.0,31
29.0,16.0,1
29.0,18.0,4
29.0,19.0,10
29.0,20.0,2
30.0,6.0,1
30.0,9.0,1
30.0,10.0,2
30.0,11.0,7
30.0,12.0,4
30.0,14.0,18
30.0,15.0,45
30.0,16.0,21
30.0,18.0,3
30.0,20.0,1
32.0,8.0,1
32.0,9.0,5
32.0,10.0,3
32.0,11.0,5
32.0,12.0,3
32.0,13.0,2
32.0,14.0,3
32.0,15.0,1
32.0,16.0,1
32.0,20.0,2
34.0,6.0,10
34.0,7.0,3
34.0,8.0,7
34.0,9.0,6
34.0,10.0,10
34.0,11.0,11
34.0,12.0,22
34.0,13.0,19
34.0,14.0,53
34.0,15.0,32
34.0,16.0,2
34.0,18.0,5
34.0,19.0,4
34.0,20.0,10
37.0,8.0,3
37.0,9.0,10
37.0,19.0,1
37.0,20.0,4
