cluster_id,articles,cluster_size,cluster_frequency_aggregate,cluster_cohesion_score,mean_intra_cluster_score,mean_intra_cluster_lift,density,edge_count
16,"['022053', '032040']",2,418,0.5200998801935447,0.5200998801935447,52.425939979303216,1.0,1
10,"['013069', '013070', '013071']",3,180,0.4744293299990301,0.4744293299990301,347.2395850699268,1.0,3
2,"['022009', '022043', '023080', '031006', '031045', '031047', '031124', '201026', '201027', '202022', '202044', '204000', '204051']",13,1637,0.3728718698440096,0.3728718698440096,81.39269516603787,0.21794871794871795,17
4,"['012012', '012019', '012037', '012040', '012053', '014024', '063014', '087002', '087004', '143022', '167006']",11,2008,0.3393228067123633,0.3393228067123633,35.54668039170232,0.36363636363636365,20
17,"['087037', '141136']",2,397,0.3252205420836518,0.3252205420836518,84.45501486465342,1.0,1
15,"['1836BR', '74P', 'DD18C']",3,147,0.31638320933538666,0.31638320933538666,281.30363267564076,0.6666666666666666,2
3,"['022199', '031149', '031156', '065072', '072090', '084042', '084099', '126105', '129079', '202062', '202068', '204082']",12,2519,0.31066752989424556,0.31066752989424556,38.03122659361992,0.5,33
18,"['092046', '093010']",2,83,0.310618755917747,0.310618755917747,386.2491228070176,1.0,1
19,"['091045', '093002']",2,107,0.3091695454735827,0.3091695454735827,280.9415538132573,1.0,1
1,"['011000', '011009', '011013', '011014', '011024', '011026', '011030', '011104', '011105', '011110', '014012', '014014', '016010', '016024', '018000', '041068', '051085', '061016', '092073', '126100', '167004']",21,8368,0.3046475488649389,0.3046475488649389,12.849553208669983,0.2619047619047619,55
11,"['018002', '018071', '018073']",3,418,0.30063924165356826,0.30063924165356826,37.390763862644015,0.6666666666666666,2
20,"['015171', '124235']",2,296,0.29720545471597454,0.29720545471597454,79.14252199413491,1.0,1
13,"['012054', '012055', '012056']",3,125,0.28873627637069293,0.28873627637069293,441.22979671400725,1.0,3
7,"['142002', '142003', '142004', '142008']",4,267,0.28021732669724925,0.28021732669724925,137.52537393162393,0.5,3
21,"['131142', '131143']",2,72,0.2741237484446044,0.2741237484446044,542.9328185328185,1.0,1
5,"['018091', '018092', '018093', '018094', '018095', '143121', '143122', '143123', '143124', '143125']",10,673,0.26911318622887986,0.26911318622887986,210.05331615658508,0.5555555555555556,25
6,"['012016', '012025', '012062', '014000', '014030', '167002', '167005']",7,731,0.26321486640676467,0.26321486640676467,89.24031592603407,0.3333333333333333,7
14,"['018072', '018076', '018086']",3,627,0.26243717129552613,0.26243717129552613,31.272173484219262,0.6666666666666666,2
12,"['019055', '019056', '019057']",3,114,0.2298084763614541,0.2298084763614541,489.32516578622,1.0,3
22,"['169003', '192032']",2,121,0.22064896129068665,0.22064896129068665,181.17346938775515,1.0,1
23,"['162030', '166032']",2,57,0.21945089694104994,0.21945089694104994,682.2118226600985,1.0,1
8,"['015168', '017017', '017018', '017019']",4,150,0.21776053520664806,0.21776053520664806,500.2531875230713,0.8333333333333334,5
24,"['022021', '031026']",2,62,0.2147012457830896,0.2147012457830896,559.5063025210084,1.0,1
9,"['121059', '121060', '129015', '146027']",4,112,0.20697301101611618,0.20697301101611618,723.0542986425339,1.0,6
