articulo,propietario,motivo_conflicto,evidencia,accion_recomendada
"22009, 91227",3,multireferencia_mismo_slot,006-128-20 con 2 artículos,normalizar a una referencia por unidad física cuando sea crítico
"184250, 202042, 203075",34,multireferencia_mismo_slot,006-129-10 con 6 artículos,normalizar a una referencia por unidad física cuando sea crítico
"22014, 31004",24,multireferencia_mismo_slot,006-132-20 con 2 artículos,normalizar a una referencia por unidad física cuando sea crítico
"202010, 96036, 96037",34,multireferencia_mismo_slot,007-008-00 con 3 artículos,normalizar a una referencia por unidad física cuando sea crítico
"152033, 154929, 189032",4,multireferencia_mismo_slot,009-130-10 con 4 artículos,normalizar a una referencia por unidad física cuando sea crítico
"206107, 206108, 51220",23,multireferencia_mismo_slot,009-130-20 con 4 artículos,normalizar a una referencia por unidad física cuando sea crítico
"103216, 106355, 106356",98,multireferencia_mismo_slot,010-061-10 con 13 artículos,normalizar a una referencia por unidad física cuando sea crítico
"142122, 142123",76,multireferencia_mismo_slot,010-061-20 con 2 artículos,normalizar a una referencia por unidad física cuando sea crítico
"109322, 129097, 129098",6,multireferencia_mismo_slot,010-061-30 con 15 artículos,normalizar a una referencia por unidad física cuando sea crítico
"142046, 143071",30,multireferencia_mismo_slot,010-061-40 con 2 artículos,normalizar a una referencia por unidad física cuando sea crítico
"124296, 129070, 129133",5 / 23,ubicacion_compartida_multiowner,010-062-10 con 2 propietarios,romper mezcla en layout destino
"122049, 122187, 123025",6,multireferencia_mismo_slot,010-062-20 con 14 artículos,normalizar a una referencia por unidad física cuando sea crítico
"103197, 107092, 109195",23,multireferencia_mismo_slot,010-062-30 con 27 artículos,normalizar a una referencia por unidad física cuando sea crítico
"113084, 124285, 133089",5,multireferencia_mismo_slot,010-062-40 con 15 artículos,normalizar a una referencia por unidad física cuando sea crítico
"132068, 133240, 153008",32,multireferencia_mismo_slot,010-063-10 con 4 artículos,normalizar a una referencia por unidad física cuando sea crítico
"112048, 124134, 124135",6,multireferencia_mismo_slot,010-063-20 con 12 artículos,normalizar a una referencia por unidad física cuando sea crítico
"127073, 172164, 183134",30,multireferencia_mismo_slot,010-063-30 con 5 artículos,normalizar a una referencia por unidad física cuando sea crítico
"109198, 122063, 124200",3,multireferencia_mismo_slot,010-063-40 con 22 artículos,normalizar a una referencia por unidad física cuando sea crítico
"102626, 107130, 107131",29,multireferencia_mismo_slot,010-064-10 con 7 artículos,normalizar a una referencia por unidad física cuando sea crítico
"103160, 122067, 141143",3,multireferencia_mismo_slot,010-064-20 con 37 artículos,normalizar a una referencia por unidad física cuando sea crítico
"103562, 109041, 125144",5,multireferencia_mismo_slot,010-064-30 con 12 artículos,normalizar a una referencia por unidad física cuando sea crítico
"102701, 106326, 121022",5,multireferencia_mismo_slot,010-064-40 con 20 artículos,normalizar a una referencia por unidad física cuando sea crítico
"113081, 123107, 129047",3,multireferencia_mismo_slot,010-065-10 con 12 artículos,normalizar a una referencia por unidad física cuando sea crítico
"102730, 102731, 103593",95,multireferencia_mismo_slot,010-065-20 con 21 artículos,normalizar a una referencia por unidad física cuando sea crítico
"131142, 131143, 21217",82,multireferencia_mismo_slot,010-065-30 con 3 artículos,normalizar a una referencia por unidad física cuando sea crítico
