propietario,demanda_actual_eu,demanda_actual_am,demanda_actual_tr,suelo_estandar_actual,suelo_250_actual,suelo_300_actual,suelo_126_actual,balda_9h_actual,externo_soportado_total,externo_inferido_total,externo_revision_manual,total_recomendado_90
23,214.0,39.0,11.0,14.0,30.0,13.0,22.0,40.0,3.7,18.555555555555557,0.0,436.2716049382716
3,440.0,94.0,47.0,16.0,44.0,30.0,15.0,158.0,353.4280718109187,154.9560185185185,0.0,1331.0929192960823
24,159.0,229.0,3.0,3.0,15.0,7.0,6.0,4.0,3.8076923076923075,66.81481481481481,0.0,607.5023741690408
4,306.0,12.0,11.0,9.0,15.0,6.0,10.0,17.0,0.0,8.703703703703706,0.0,443.2098765432099
29,65.0,9.0,4.0,5.0,4.0,9.0,6.0,12.0,109.84910677089387,2932.0694444444416,0.0,250.75826678247466
82,120.0,29.0,1.0,1.0,16.0,0.0,1.0,0.0,0.0,0.8333333333333333,0.0,205.0
5,172.0,22.0,24.0,14.0,26.0,11.0,6.0,48.0,3.191626092691072,3.1875,0.0,380.5832882511382
30,78.0,0.0,1.0,1.0,5.0,0.0,5.0,13.0,0.0,3.333333333333333,0.0,103.82716049382715
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.77210580158962,1688.8773148148143,0.0,186.41345089065513
14,117.0,12.0,7.0,3.0,3.0,2.0,1.0,75.0,0.46186778239826354,11.5,0.0,193.10577901747956
62,68.0,2.0,2.0,1.0,6.0,0.0,2.0,5.0,0.0,0.5,0.0,96.17283950617283
89,35.0,0.0,2.0,0.0,6.0,1.0,2.0,8.0,0.0,0.0,0.0,56.5432098765432
61,24.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,103.69952526186778,1440.5659722222222,0.0,146.76490461195186
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8631718100187,162.14351851851848,0.0,25.40352423335411
32,8.0,1.0,4.0,0.0,3.0,3.0,1.0,6.0,42.782669819156,547.2743055555555,0.0,79.94370720646963
96,211.0,10.0,32.0,2.0,12.0,4.0,7.0,38.0,0.22580645161290322,0.0,0.0,390.4978096375946
34,102.0,17.0,5.0,8.0,24.0,3.0,7.0,28.0,11.688888888888888,0.0,0.0,221.44444444444446
6,44.0,1.0,2.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,62.28395061728395
64,43.0,2.0,7.0,4.0,5.0,9.0,1.0,3.0,69.97423132423133,1208.1921296296302,0.0,173.67507184173851
49,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77777777777778
95,145.0,2.0,2.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,180.74074074074073
71,7.0,0.0,3.0,0.0,4.0,2.0,2.0,1.0,9.183819871105094,199.79629629629628,0.0,36.994367758018
77,27.0,2.0,0.0,1.0,3.0,0.0,0.0,20.0,146.28119562867283,510.519675925926,0.0,202.7815753898834
90,14.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.10185185185185185,0.0,18.88888888888889
80,13.0,7.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,31.04938271604938
98,41.0,21.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,89.44444444444444
86,28.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,33.45679012345679
76,34.0,6.0,3.0,0.0,8.0,7.0,1.0,6.0,0.0,0.0,0.0,76.2962962962963
72,7.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.901234567901234
74,18.0,3.0,3.0,0.0,5.0,1.0,0.0,1.0,0.5,0.0,0.0,42.345679012345684
79,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.666666666666668
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.29861111111111,0.0,0.0
21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.7901234567901225
12,28.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.44444444444444
51,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555
46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223
37,5.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,2.0,9.00578703703704,0.0,25.0
sin_asignacion_segura,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88888888888889
