propietario,ranking_operativo,pasillo_principal,pasillo_secundario,tipo_asignacion,escenario,soporte_asignacion,justificacion
23,0.8937,1,,dedicado,base,ranking=0.894; demanda_90=436.3,"propietario priorizado por salidas históricas, volumen y capacidad"
3,0.7371,1,2,split_contiguo,base,ranking=0.737; demanda_90=1331.1,requiere bloque ampliado
24,0.6733,4,5,split_contiguo,base,ranking=0.673; demanda_90=607.5,"propietario priorizado por salidas históricas, volumen y capacidad"
4,0.622,5,6,split_contiguo,base,ranking=0.622; demanda_90=443.2,"propietario priorizado por salidas históricas, volumen y capacidad"
29,0.3908,6,7,split_contiguo,base,ranking=0.391; demanda_90=250.8,"propietario priorizado por salidas históricas, volumen y capacidad"
82,0.3587,7,,dedicado,base,ranking=0.359; demanda_90=205.0,"propietario priorizado por salidas históricas, volumen y capacidad"
5,0.2704,7,8,split_contiguo,base,ranking=0.270; demanda_90=380.6,"propietario priorizado por salidas históricas, volumen y capacidad"
30,0.2556,8,,dedicado,base,ranking=0.256; demanda_90=103.8,"propietario priorizado por salidas históricas, volumen y capacidad"
33,0.2147,8,9,split_contiguo,base,ranking=0.215; demanda_90=186.4,"propietario priorizado por salidas históricas, volumen y capacidad"
14,0.1035,9,,dedicado,base,ranking=0.103; demanda_90=193.1,"propietario priorizado por salidas históricas, volumen y capacidad"
62,0.1032,9,,dedicado,base,ranking=0.103; demanda_90=96.2,"propietario priorizado por salidas históricas, volumen y capacidad"
89,0.0981,9,,dedicado,base,ranking=0.098; demanda_90=56.5,"propietario priorizado por salidas históricas, volumen y capacidad"
61,0.0971,9,10,split_contiguo,base,ranking=0.097; demanda_90=146.8,"propietario priorizado por salidas históricas, volumen y capacidad"
7,0.091,10,,dedicado,base,ranking=0.091; demanda_90=25.4,"propietario priorizado por salidas históricas, volumen y capacidad"
32,0.0804,10,,dedicado,base,ranking=0.080; demanda_90=79.9,"propietario priorizado por salidas históricas, volumen y capacidad"
96,0.0785,10,11,split_contiguo,base,ranking=0.078; demanda_90=390.5,"propietario priorizado por salidas históricas, volumen y capacidad"
34,0.0761,11,,dedicado,base,ranking=0.076; demanda_90=221.4,"propietario priorizado por salidas históricas, volumen y capacidad"
6,0.0568,11,,dedicado,base,ranking=0.057; demanda_90=62.3,"propietario priorizado por salidas históricas, volumen y capacidad"
64,0.0466,11,12,split_contiguo,base,ranking=0.047; demanda_90=173.7,"propietario priorizado por salidas históricas, volumen y capacidad"
49,0.0436,12,,dedicado,base,ranking=0.044; demanda_90=17.8,"propietario priorizado por salidas históricas, volumen y capacidad"
95,0.0401,12,,dedicado,base,ranking=0.040; demanda_90=180.7,"propietario priorizado por salidas históricas, volumen y capacidad"
71,0.0378,12,,dedicado,base,ranking=0.038; demanda_90=37.0,"propietario priorizado por salidas históricas, volumen y capacidad"
77,0.0343,12,,dedicado,base,ranking=0.034; demanda_90=202.8,"propietario priorizado por salidas históricas, volumen y capacidad"
90,0.024,12,,dedicado,base,ranking=0.024; demanda_90=18.9,"propietario priorizado por salidas históricas, volumen y capacidad"
80,0.0225,,,split_contiguo,base,ranking=0.023; demanda_90=31.0,"propietario priorizado por salidas históricas, volumen y capacidad"
98,0.0132,,,split_contiguo,base,ranking=0.013; demanda_90=89.4,"propietario priorizado por salidas históricas, volumen y capacidad"
86,0.0085,,,split_contiguo,base,ranking=0.008; demanda_90=33.5,"propietario priorizado por salidas históricas, volumen y capacidad"
76,0.0071,,,split_contiguo,base,ranking=0.007; demanda_90=76.3,"propietario priorizado por salidas históricas, volumen y capacidad"
72,0.0068,,,split_contiguo,base,ranking=0.007; demanda_90=22.9,"propietario priorizado por salidas históricas, volumen y capacidad"
74,0.0041,,,split_contiguo,base,ranking=0.004; demanda_90=42.3,"propietario priorizado por salidas históricas, volumen y capacidad"
79,0.0036,,,split_contiguo,base,ranking=0.004; demanda_90=16.7,"propietario priorizado por salidas históricas, volumen y capacidad"
60,0.0028,,,split_contiguo,base,ranking=0.003; demanda_90=0.0,"propietario priorizado por salidas históricas, volumen y capacidad"
21,0.0016,,,split_contiguo,base,ranking=0.002; demanda_90=6.8,"propietario priorizado por salidas históricas, volumen y capacidad"
12,0.0016,,,split_contiguo,base,ranking=0.002; demanda_90=39.4,"propietario priorizado por salidas históricas, volumen y capacidad"
51,0.0011,,,split_contiguo,base,ranking=0.001; demanda_90=5.6,"propietario priorizado por salidas históricas, volumen y capacidad"
46,0.001,,,split_contiguo,base,ranking=0.001; demanda_90=2.2,"propietario priorizado por salidas históricas, volumen y capacidad"
37,,,,split_contiguo,base,ranking=nan; demanda_90=25.0,"propietario priorizado por salidas históricas, volumen y capacidad"
23,0.8937,1,,dedicado,condicionado,ranking=0.894; demanda_90=456.9,"propietario priorizado por salidas históricas, volumen y capacidad"
3,0.7371,1,2,split_contiguo,condicionado,ranking=0.737; demanda_90=1503.3,requiere bloque ampliado
24,0.6733,5,6,split_contiguo,condicionado,ranking=0.673; demanda_90=681.7,"propietario priorizado por salidas históricas, volumen y capacidad"
4,0.622,6,7,split_contiguo,condicionado,ranking=0.622; demanda_90=452.9,"propietario priorizado por salidas históricas, volumen y capacidad"
