ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
102234,29,29,70,AK04006,70,C,12.0,balda_9h,subhueco_balda,5.833333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186146,29,29,1,AK14206,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
146018,33,33,17,AP04004,1,C,2.0,suelo_126,posicion_suelo,8.5,dimensión <= 126 cm; owner=prefijo_RESERVA
103996,71,71,106,AZ11603,106,C,12.0,balda_9h,subhueco_balda,8.833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
12036,77,77,24,AV11909,1,A,24.0,balda_9h,subhueco_balda,1.0,match_articulo_propietario; owner=prefijo_RESERVA
166010,32,32,182,AV10906,182,C,12.0,balda_9h,subhueco_balda,15.166666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
147037,64,64,1,AV08309,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
61039,33,33,22,BB13701,22,C,12.0,balda_9h,subhueco_balda,1.8333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
21045,29,29,5,AM09804,1,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA
102646,33,33,3,BA04603,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
115099,32,32,15,AK01803,15,C,2.0,suelo_126,posicion_suelo,7.5,dimensión <= 126 cm; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AT07504,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
*MULTI*,,sin_asignacion_segura,1,BB13701,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98886,64,64,35,AZ01902,35,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
132072,71,71,8,BB09205,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
184198,64,64,1,AZ11801,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
22054,32,32,3,BB13602,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA
121034,33,33,14,BA04603,14,C,12.0,balda_9h,subhueco_balda,1.1666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
186019,33,33,100,BA04603,100,C,12.0,balda_9h,subhueco_balda,8.333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
124249,33,33,252,BC09604,1,C,2.0,suelo_126,posicion_suelo,126.0,dimensión <= 126 cm; owner=prefijo_RESERVA
186055,61,61,50,AJ02201,50,C,12.0,balda_9h,subhueco_balda,4.166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
98565,61,61,8,AR09401,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
