propietario,owner_name,en_fotostock,en_stock_externo,incluido_layout_previo_codex,floor_positions_required_90,floor_positions_required_fit,floor_positions_required_layout,layout_support_status,floor_positions_assigned,floor_positions_overflow,incluido_layout_detallado,estado_cobertura
3,ALHAMBRA,True,True,True,282,256,256,base_soportada,256,0,True,asignado
4,SOLAN,True,True,True,93,84,84,base_soportada,84,0,True,asignado
5,SAN MIGUEL,True,True,True,84,76,76,base_soportada,76,0,True,asignado
6,CRAFT,True,False,True,13,12,12,base_soportada,12,0,True,asignado
7,CERVECISTAS,False,True,True,6,5,5,base_soportada,5,0,True,asignado
12,ESPACIOS CERVECERAS,True,False,True,9,8,8,base_soportada,8,0,True,asignado
14,FUNDACION MAHOU SAN MIGUEL,True,True,True,40,36,36,base_soportada,36,0,True,asignado
21,MIXTA,True,False,True,2,2,2,base_soportada,2,0,True,asignado
23,MAHOU-MARKETING OCIO,True,True,True,96,88,88,base_soportada,88,0,True,asignado
24,MCC MADRID,True,True,True,126,114,114,base_soportada,114,0,True,asignado
29,MAHOU FUTBOL,True,True,True,54,49,49,base_soportada,49,0,True,asignado
30,EVENTOS COMERCIALES,True,True,True,22,20,20,base_soportada,20,0,True,asignado
32,MCC CENTRO - OESTE,True,True,True,18,16,16,base_soportada,16,0,True,asignado
33,IPA,False,True,True,38,34,34,base_soportada,34,0,True,asignado
34,CUENTAS NACIONALES,True,True,True,50,46,46,base_soportada,46,0,True,asignado
37,ALHAMBRA CORPORATIVO,True,True,True,7,7,7,base_soportada,7,0,True,asignado
46,REFEEL,True,False,True,1,1,1,base_soportada,1,0,True,asignado
49,MAHOU - SANDRINE GIRAUD,True,False,True,4,4,4,base_soportada,4,0,True,asignado
51,MCC BILBAO,True,False,True,2,2,2,base_soportada,2,0,True,asignado
60,MARCOS CELEIRO,False,True,True,0,0,47,condicionado_externo_inferido,47,0,True,asignado_condicionado
61,MAHOU CORPORATIVO,True,True,True,32,32,32,base_soportada,32,0,True,asignado
62,MAHOU JOVEN,True,True,True,21,19,19,base_soportada,19,0,True,asignado
64,CORONA,True,True,True,38,35,35,base_soportada,35,0,True,asignado
71,BUDWEISER,True,True,True,10,10,10,base_soportada,10,0,True,asignado
72,LA SALVE,True,False,True,5,5,5,base_soportada,5,0,True,asignado
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,True,True,True,10,10,10,base_soportada,10,0,True,asignado
76,UNIDAD INTERNACIONAL MARKETING,True,False,True,19,17,17,base_soportada,17,0,True,asignado
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,True,True,True,42,38,38,base_soportada,38,0,True,asignado
79,SAN MIGUEL CORPORATIVO,True,False,True,4,3,3,base_soportada,3,0,True,asignado
80,ABI HORECA,True,True,True,7,6,6,base_soportada,6,0,True,asignado
82,BRUTUS DESARROLLO COMERCIAL,True,True,True,45,41,41,base_soportada,41,0,True,asignado
86,GOLF,True,False,True,7,7,7,base_soportada,7,0,True,asignado
89,BRAND MANAGEMENT MERCADO,True,False,True,13,12,12,base_soportada,12,0,True,asignado
90,HUB CONTENIDO & ACTIVACION,True,True,True,5,4,4,base_soportada,4,0,True,asignado
95,INNOVACION,True,False,True,38,34,34,base_soportada,34,0,True,asignado
96,VENUES,True,True,True,82,74,74,base_soportada,74,0,True,asignado
98,MAHOU CANAL,True,False,True,19,18,18,base_soportada,18,0,True,asignado
