propietario,owner_name,ranking_operativo,pasillo_destino,floor_positions_allocated
23,MAHOU-MARKETING OCIO,1,1,88
3,ALHAMBRA,2,1,20
3,ALHAMBRA,2,2,108
3,ALHAMBRA,2,3,108
3,ALHAMBRA,2,4,20
24,MCC MADRID,3,4,88
24,MCC MADRID,3,5,26
4,SOLAN,4,5,82
4,SOLAN,4,6,2
29,MAHOU FUTBOL,5,6,49
82,BRUTUS DESARROLLO COMERCIAL,6,6,41
5,SAN MIGUEL,7,6,16
5,SAN MIGUEL,7,7,60
30,EVENTOS COMERCIALES,8,7,20
33,IPA,9,7,28
33,IPA,9,8,6
14,FUNDACION MAHOU SAN MIGUEL,10,8,36
62,MAHOU JOVEN,11,8,19
89,BRAND MANAGEMENT MERCADO,12,8,12
61,MAHOU CORPORATIVO,13,8,32
7,CERVECISTAS,14,8,3
7,CERVECISTAS,14,9,2
32,MCC CENTRO - OESTE,15,9,16
96,VENUES,16,9,74
34,CUENTAS NACIONALES,17,9,16
34,CUENTAS NACIONALES,17,10,30
6,CRAFT,18,10,12
64,CORONA,19,10,35
49,MAHOU - SANDRINE GIRAUD,20,10,4
95,INNOVACION,21,10,27
95,INNOVACION,21,11,7
71,BUDWEISER,22,11,10
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,23,11,38
90,HUB CONTENIDO & ACTIVACION,24,11,4
80,ABI HORECA,25,11,6
98,MAHOU CANAL,26,11,18
86,GOLF,27,11,7
76,UNIDAD INTERNACIONAL MARKETING,28,11,17
72,LA SALVE,29,11,1
72,LA SALVE,29,12,4
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,30,12,10
79,SAN MIGUEL CORPORATIVO,31,12,3
60,MARCOS CELEIRO,32,12,47
21,MIXTA,33,12,2
12,ESPACIOS CERVECERAS,34,12,8
51,MCC BILBAO,35,12,2
46,REFEEL,36,12,1
37,ALHAMBRA CORPORATIVO,37,12,7
