pasillo_destino,propietario,owner_name,rangos_suelo,rangos_fisicos,posicion_desde_global,posicion_hasta_global,posiciones_totales
1,3,ALHAMBRA,014-033 (suelo_300),impar:027-065,14,33,20
1,23,MAHOU-MARKETING OCIO,001-013 (suelo_300) | 034-048 (suelo_300) | 049-078 (suelo_250) | 079-090 (suelo_250) | 091-108 (suelo_126),impar:001-025 | impar:067-095 | impar:097-107 | par:002-048 | par:050-072 | par:074-108,1,108,88
2,3,ALHAMBRA,001-010 (suelo_300) | 011-030 (suelo_300) | 031-074 (suelo_250) | 075-087 (suelo_250) | 088-102 (suelo_126) | 103-105 (suelo_126) | 106-108 (balda_9h),impar:001-019 | impar:021-059 | impar:061-107 | par:002-040 | par:042-066 | par:068-096 | par:098-102 | par:104-108,1,108,108
3,3,ALHAMBRA,001-021 (suelo_300) | 022-054 (suelo_250) | 055-084 (suelo_126) | 085-087 (balda_9h) | 088-108 (normal),impar:001-041 | impar:043-107 | par:002-060 | par:062-066 | par:068-108,1,108,108
4,3,ALHAMBRA,008-011 (suelo_300) | 043-049 (suelo_250) | 076-080 (suelo_126) | 094-094 (balda_9h) | 097-099 (normal),impar:015-021 | impar:085-097 | par:044-052 | par:080 | par:086-090,8,99,20
4,24,MCC MADRID,001-007 (suelo_300) | 012-027 (suelo_300) | 028-042 (suelo_250) | 050-069 (suelo_250) | 070-075 (suelo_126) | 081-093 (suelo_126) | 095-096 (balda_9h) | 100-108 (normal),impar:001-013 | impar:023-053 | impar:055-083 | impar:099-107 | par:002-030 | par:032-042 | par:054-078 | par:082-084 | par:092-108,1,108,88
5,4,SOLAN,001-006 (suelo_300) | 012-024 (suelo_300) | 025-039 (suelo_250) | 048-066 (suelo_250) | 067-076 (suelo_126) | 085-096 (suelo_126) | 097-098 (balda_9h) | 104-108 (normal),impar:001-011 | impar:023-047 | impar:049-077 | impar:095-107 | par:002-024 | par:026-044 | par:062-084 | par:086-088 | par:100-108,1,108,82
5,24,MCC MADRID,007-011 (suelo_300) | 040-047 (suelo_250) | 077-084 (suelo_126) | 099-099 (balda_9h) | 100-103 (normal),impar:013-021 | impar:079-093 | par:046-060 | par:090 | par:092-098,7,103,26
6,4,SOLAN,021-021 (suelo_300) | 089-089 (suelo_126),impar:041 | par:070,21,89,2
6,5,SAN MIGUEL,010-020 (suelo_300) | 036-036 (suelo_300) | 057-060 (suelo_250),impar:019-039 | impar:071 | par:006-012,10,60,16
