pasillo_destino,suelo_300_posiciones,suelo_300_tramos,suelo_250_posiciones,suelo_250_tramos,suelo_126_posiciones,suelo_126_tramos,balda_9h_posiciones,balda_9h_tramos
1,48,impar:001-025 (23 MAHOU-MARKETING OCIO) | impar:027-065 (3 ALHAMBRA) | impar:067-095 (23 MAHOU-MARKETING OCIO),42,impar:097-107 | par:002-048 (23 MAHOU-MARKETING OCIO) | par:050-072 (23 MAHOU-MARKETING OCIO),18,par:074-108 (23 MAHOU-MARKETING OCIO),0,
2,30,impar:001-019 (3 ALHAMBRA) | impar:021-059 (3 ALHAMBRA),57,impar:061-107 | par:002-040 (3 ALHAMBRA) | par:042-066 (3 ALHAMBRA),18,par:068-096 (3 ALHAMBRA) | par:098-102 (3 ALHAMBRA),3,par:104-108 (3 ALHAMBRA)
3,21,impar:001-041 (3 ALHAMBRA),33,impar:043-107 (3 ALHAMBRA),30,par:002-060 (3 ALHAMBRA),3,par:062-066 (3 ALHAMBRA)
4,27,impar:001-013 (24 MCC MADRID) | impar:015-021 (3 ALHAMBRA) | impar:023-053 (24 MCC MADRID),42,impar:055-083 (24 MCC MADRID) | impar:085-097 (3 ALHAMBRA) | impar:099-107 | par:002-030 (24 MCC MADRID),24,par:032-042 (24 MCC MADRID) | par:044-052 (3 ALHAMBRA) | par:054-078 (24 MCC MADRID),3,par:080 (3 ALHAMBRA) | par:082-084 (24 MCC MADRID)
5,24,impar:001-011 (4 SOLAN) | impar:013-021 (24 MCC MADRID) | impar:023-047 (4 SOLAN),42,impar:049-077 (4 SOLAN) | impar:079-093 (24 MCC MADRID) | impar:095-107 | par:002-024 (4 SOLAN),30,par:026-044 (4 SOLAN) | par:046-060 (24 MCC MADRID) | par:062-084 (4 SOLAN),3,par:086-088 (4 SOLAN) | par:090 (24 MCC MADRID)
6,36,impar:001-017 (29 MAHOU FUTBOL) | impar:019-039 (5 SAN MIGUEL) | impar:041 (4 SOLAN) | impar:043-055 (29 MAHOU FUTBOL) | impar:057-069 (82 BRUTUS DESARROLLO COMERCIAL) | impar:071 (5 SAN MIGUEL),45,impar:073-079 (29 MAHOU FUTBOL) | impar:081-107 | par:002-004 (82 BRUTUS DESARROLLO COMERCIAL) | par:006-012 (5 SAN MIGUEL) | par:014-038 (29 MAHOU FUTBOL) | par:040-054 (82 BRUTUS DESARROLLO COMERCIAL),18,par:056-066 (29 MAHOU FUTBOL) | par:068 (82 BRUTUS DESARROLLO COMERCIAL) | par:070 (4 SOLAN) | par:072-080 (29 MAHOU FUTBOL) | par:082-090 (82 BRUTUS DESARROLLO COMERCIAL),3,par:092 (29 MAHOU FUTBOL) | par:094 (29 MAHOU FUTBOL) | par:096 (82 BRUTUS DESARROLLO COMERCIAL)
7,21,impar:001-023 (5 SAN MIGUEL) | impar:025-031 (30 EVENTOS COMERCIALES) | impar:033-041 (33 IPA),51,impar:043-083 (5 SAN MIGUEL) | impar:085-093 (30 EVENTOS COMERCIALES) | impar:095-107 | par:002-008 (5 SAN MIGUEL) | par:010-018 (30 EVENTOS COMERCIALES) | par:020-036 (33 IPA),24,par:038-048 (5 SAN MIGUEL) | par:050-058 (30 EVENTOS COMERCIALES) | par:060-068 (5 SAN MIGUEL) | par:070 (30 EVENTOS COMERCIALES) | par:072-084 (33 IPA),6,par:086-092 (5 SAN MIGUEL) | par:094-096 (33 IPA)
8,24,impar:001-003 (14 FUNDACION MAHOU SAN MIGUEL) | impar:005 (89 BRAND MANAGEMENT MERCADO) | impar:007 (61 MAHOU CORPORATIVO) | impar:009 (33 IPA) | impar:011-021 (14 FUNDACION MAHOU SAN MIGUEL) | impar:023-029 (62 MAHOU JOVEN) | impar:031-033 (89 BRAND MANAGEMENT MERCADO) | impar:035-045 (61 MAHOU CORPORATIVO) | impar:047 (7 CERVECISTAS),42,impar:049-053 (14 FUNDACION MAHOU SAN MIGUEL) | impar:055-065 (62 MAHOU JOVEN) | impar:067-077 (89 BRAND MANAGEMENT MERCADO) | impar:079-081 (33 IPA) | impar:083-101 (14 FUNDACION MAHOU SAN MIGUEL) | impar:103-107 (62 MAHOU JOVEN) | par:002 (89 BRAND MANAGEMENT MERCADO) | par:004-022 (61 MAHOU CORPORATIVO) | par:024 (7 CERVECISTAS),24,par:026 (14 FUNDACION MAHOU SAN MIGUEL) | par:028-030 (62 MAHOU JOVEN) | par:032-034 (89 BRAND MANAGEMENT MERCADO) | par:036-038 (33 IPA) | par:040-052 (14 FUNDACION MAHOU SAN MIGUEL) | par:054-056 (62 MAHOU JOVEN) | par:058-072 (61 MAHOU CORPORATIVO),9,par:074-086 (14 FUNDACION MAHOU SAN MIGUEL) | par:088 (61 MAHOU CORPORATIVO) | par:090 (61 MAHOU CORPORATIVO)
9,30,impar:001-005 (32 MCC CENTRO - OESTE) | impar:007-013 (96 VENUES) | impar:015-019 (34 CUENTAS NACIONALES) | impar:021-025 (32 MCC CENTRO - OESTE) | impar:027-053 (96 VENUES) | impar:055-059 (34 CUENTAS NACIONALES),48,impar:061-065 (32 MCC CENTRO - OESTE) | impar:067-089 (96 VENUES) | impar:091-107 | par:002 (34 CUENTAS NACIONALES) | par:004 (7 CERVECISTAS) | par:006-010 (32 MCC CENTRO - OESTE) | par:012-048 (96 VENUES),21,par:050 (32 MCC CENTRO - OESTE) | par:052-064 (96 VENUES) | par:066-068 (32 MCC CENTRO - OESTE) | par:070-090 (96 VENUES),6,par:092 (32 MCC CENTRO - OESTE) | par:094-100 (96 VENUES) | par:102 (96 VENUES)
10,33,impar:001-017 (64 CORONA) | impar:019-029 (95 INNOVACION) | impar:031-041 (34 CUENTAS NACIONALES) | impar:043-045 (6 CRAFT) | impar:047-055 (64 CORONA) | impar:057 (49 MAHOU - SANDRINE GIRAUD) | impar:059-065 (95 INNOVACION),39,impar:067-087 (34 CUENTAS NACIONALES) | impar:089-097 (64 CORONA) | impar:099 (95 INNOVACION) | impar:101-107 | par:002 (34 CUENTAS NACIONALES) | par:004-010 (6 CRAFT) | par:012-022 (64 CORONA) | par:024 (49 MAHOU - SANDRINE GIRAUD) | par:026-036 (95 INNOVACION),24,par:038-050 (34 CUENTAS NACIONALES) | par:052 (6 CRAFT) | par:054 (64 CORONA) | par:056 (34 CUENTAS NACIONALES) | par:058-062 (6 CRAFT) | par:064-072 (64 CORONA) | par:074 (49 MAHOU - SANDRINE GIRAUD) | par:076-084 (95 INNOVACION),6,par:086 (6 CRAFT) | par:088 (95 INNOVACION) | par:090-092 (64 CORONA) | par:094-096 (95 INNOVACION)
