pasillo_destino,posicion_desde,posicion_hasta,tipologia,propietario,owner_name,tipo_bloque,padding_modulo_3eu,lado_destino,tramo_fisico
1,1,13,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:001-025
1,14,33,suelo_300,3,ALHAMBRA,especial,0,impar,impar:027-065
1,34,48,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:067-095
1,49,78,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,impar | par,impar:097-107 | par:002-048
1,79,90,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,par,par:050-072
1,91,108,suelo_126,23,MAHOU-MARKETING OCIO,especial,0,par,par:074-108
2,1,10,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-019
2,11,30,suelo_300,3,ALHAMBRA,especial,0,impar,impar:021-059
2,31,74,suelo_250,3,ALHAMBRA,especial,0,impar | par,impar:061-107 | par:002-040
2,75,87,suelo_250,3,ALHAMBRA,especial,0,par,par:042-066
2,88,102,suelo_126,3,ALHAMBRA,especial,0,par,par:068-096
2,103,105,suelo_126,3,ALHAMBRA,especial,0,par,par:098-102
2,106,108,balda_9h,3,ALHAMBRA,especial,0,par,par:104-108
3,1,21,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-041
3,22,54,suelo_250,3,ALHAMBRA,especial,0,impar,impar:043-107
3,55,84,suelo_126,3,ALHAMBRA,especial,0,par,par:002-060
3,85,87,balda_9h,3,ALHAMBRA,especial,0,par,par:062-066
3,88,108,normal,3,ALHAMBRA,normal,0,par,par:068-108
4,1,7,suelo_300,24,MCC MADRID,especial,0,impar,impar:001-013
4,8,11,suelo_300,3,ALHAMBRA,especial,0,impar,impar:015-021
4,12,27,suelo_300,24,MCC MADRID,especial,0,impar,impar:023-053
4,28,42,suelo_250,24,MCC MADRID,especial,0,impar,impar:055-083
4,43,49,suelo_250,3,ALHAMBRA,especial,0,impar,impar:085-097
4,50,69,suelo_250,24,MCC MADRID,especial,0,impar | par,impar:099-107 | par:002-030
4,70,75,suelo_126,24,MCC MADRID,especial,0,par,par:032-042
4,76,80,suelo_126,3,ALHAMBRA,especial,0,par,par:044-052
4,81,93,suelo_126,24,MCC MADRID,especial,0,par,par:054-078
4,94,94,balda_9h,3,ALHAMBRA,especial,0,par,par:080
4,95,96,balda_9h,24,MCC MADRID,especial,0,par,par:082-084
4,97,99,normal,3,ALHAMBRA,normal,0,par,par:086-090
4,100,108,normal,24,MCC MADRID,normal,0,par,par:092-108
5,1,6,suelo_300,4,SOLAN,especial,0,impar,impar:001-011
5,7,11,suelo_300,24,MCC MADRID,especial,0,impar,impar:013-021
5,12,24,suelo_300,4,SOLAN,especial,0,impar,impar:023-047
5,25,39,suelo_250,4,SOLAN,especial,0,impar,impar:049-077
5,40,47,suelo_250,24,MCC MADRID,especial,0,impar,impar:079-093
5,48,66,suelo_250,4,SOLAN,especial,0,impar | par,impar:095-107 | par:002-024
5,67,76,suelo_126,4,SOLAN,especial,0,par,par:026-044
5,77,84,suelo_126,24,MCC MADRID,especial,0,par,par:046-060
5,85,96,suelo_126,4,SOLAN,especial,0,par,par:062-084
5,97,98,balda_9h,4,SOLAN,especial,0,par,par:086-088
5,99,99,balda_9h,24,MCC MADRID,especial,0,par,par:090
5,100,103,normal,24,MCC MADRID,normal,0,par,par:092-098
5,104,108,normal,4,SOLAN,normal,0,par,par:100-108
6,1,9,suelo_300,29,MAHOU FUTBOL,especial,0,impar,impar:001-017
6,10,20,suelo_300,5,SAN MIGUEL,especial,0,impar,impar:019-039
6,21,21,suelo_300,4,SOLAN,especial,0,impar,impar:041
