propietario,owner_name,floor_positions_required_layout,ranking_operativo_score,suelo_300_min,suelo_250_min,suelo_126_min,balda_9h_min,special_min_total
23,MAHOU-MARKETING OCIO,88.0,0.8937474051831066,13,30,22,4,69
3,ALHAMBRA,256.0,0.7370764268148574,30,44,15,15,104
24,MCC MADRID,114.0,0.6733359788688481,7,15,6,0,28
4,SOLAN,84.0,0.6220472068015838,6,15,10,2,33
29,MAHOU FUTBOL,49.0,0.3908141064423562,9,4,6,1,20
82,BRUTUS DESARROLLO COMERCIAL,41.0,0.35865457719240357,0,16,1,0,17
5,SAN MIGUEL,76.0,0.27039488570687614,11,26,6,4,47
30,EVENTOS COMERCIALES,20.0,0.25563545533552434,0,5,5,1,11
33,IPA,34.0,0.2147388713905275,0,0,0,0,0
14,FUNDACION MAHOU SAN MIGUEL,36.0,0.10349342964846753,2,3,1,7,13
62,MAHOU JOVEN,19.0,0.10316326091003977,0,6,2,0,8
89,BRAND MANAGEMENT MERCADO,12.0,0.09805089225476961,1,6,2,1,10
61,MAHOU CORPORATIVO,32.0,0.09709107548667849,1,0,0,1,2
7,CERVECISTAS,5.0,0.09100973731095355,0,0,0,0,0
32,MCC CENTRO - OESTE,16.0,0.08041278050180967,3,3,1,1,8
96,VENUES,74.0,0.07848070799095883,4,12,7,4,27
34,CUENTAS NACIONALES,46.0,0.07613173186583973,3,24,7,3,37
6,CRAFT,12.0,0.05682705262947313,0,0,1,1,2
64,CORONA,35.0,0.046600907213376896,9,5,1,0,15
49,MAHOU - SANDRINE GIRAUD,4.0,0.04363107645717153,0,0,0,0,0
95,INNOVACION,34.0,0.0400683872377077,6,1,0,1,8
71,BUDWEISER,10.0,0.03781230750760963,2,4,2,0,8
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,38.0,0.034331827929590504,0,3,0,2,5
90,HUB CONTENIDO & ACTIVACION,4.0,0.023989860717624628,1,1,0,1,3
80,ABI HORECA,6.0,0.022540371420755663,0,1,2,0,3
98,MAHOU CANAL,18.0,0.013187082069753102,2,3,2,0,7
86,GOLF,7.0,0.008490974381469459,1,0,1,0,2
76,UNIDAD INTERNACIONAL MARKETING,17.0,0.0070630178033781145,7,8,1,1,17
72,LA SALVE,5.0,0.0068251922504514095,0,0,0,0,0
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,10.0,0.004140175719072319,1,5,0,0,6
79,SAN MIGUEL CORPORATIVO,3.0,0.003612637400416143,0,0,0,1,1
60,MARCOS CELEIRO,47.0,0.0027620154394393795,0,0,0,0,0
21,MIXTA,2.0,0.0015753076382515208,0,0,0,0,0
12,ESPACIOS CERVECERAS,8.0,0.0015538017681612335,0,2,0,0,2
51,MCC BILBAO,2.0,0.0011315038369264139,1,0,0,0,1
46,REFEEL,1.0,0.000963438599840405,0,0,0,0,0
37,ALHAMBRA CORPORATIVO,7.0,0.0,0,4,0,0,4
