owner,picking_lineas_2026,picking_transacciones_2026,picking_unidades_2026,articulos_2026,ultima_salida_2026,owner_name,share_lineas_2026,share_acumulada_lineas_2026,abc_picking_2026,periodo_inicio,periodo_corte
23,428,108,69587,143,2026-04-16 11:29:46,MAHOU-MARKETING OCIO,0.13784219001610307,0.13784219001610307,A,2026-01-01,2026-04-20
3,405,130,40695,116,2026-04-16 11:35:47,ALHAMBRA,0.13043478260869565,0.2682769726247987,A,2026-01-01,2026-04-20
4,373,147,96965,48,2026-04-16 12:38:16,SOLAN,0.12012882447665056,0.3884057971014493,A,2026-01-01,2026-04-20
30,351,68,277131,84,2026-04-16 10:00:48,EVENTOS COMERCIALES,0.11304347826086956,0.5014492753623189,A,2026-01-01,2026-04-20
95,243,45,60187,65,2026-04-16 19:24:36,INNOVACION,0.0782608695652174,0.5797101449275363,A,2026-01-01,2026-04-20
40,238,220,9285,13,2026-02-26 14:04:00,MARKETING INNOVACION JOSERRA,0.07665056360708535,0.6563607085346216,A,2026-01-01,2026-04-20
96,190,55,119863,66,2026-04-16 13:34:39,VENUES,0.061191626409017714,0.7175523349436393,A,2026-01-01,2026-04-20
29,188,82,20352,36,2026-04-15 15:03:26,MAHOU FUTBOL,0.06054750402576489,0.7780998389694043,A,2026-01-01,2026-04-20
6,121,48,6078,15,2026-04-15 14:13:26,CRAFT,0.03896940418679549,0.8170692431561998,B,2026-01-01,2026-04-20
82,111,36,28694,19,2026-03-16 12:51:25,BRUTUS DESARROLLO COMERCIAL,0.035748792270531404,0.8528180354267312,B,2026-01-01,2026-04-20
5,110,42,10706,64,2026-04-16 12:50:47,SAN MIGUEL,0.03542673107890499,0.8882447665056362,B,2026-01-01,2026-04-20
62,78,34,11474,9,2026-04-16 06:12:15,MAHOU JOVEN,0.025120772946859903,0.9133655394524961,B,2026-01-01,2026-04-20
89,64,27,20665,19,2026-04-16 15:17:34,BRAND MANAGEMENT MERCADO,0.020611916264090178,0.9339774557165863,B,2026-01-01,2026-04-20
86,39,3,9525,21,2026-03-16 07:16:11,GOLF,0.012560386473429951,0.9465378421900162,B,2026-01-01,2026-04-20
90,30,18,4416,8,2026-04-16 13:22:52,HUB CONTENIDO & ACTIVACION,0.00966183574879227,0.9561996779388086,C,2026-01-01,2026-04-20
61,29,9,1284,26,2026-04-13 09:13:16,MAHOU CORPORATIVO,0.00933977455716586,0.9655394524959744,C,2026-01-01,2026-04-20
77,24,4,1545,21,2026-04-10 16:07:25,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,0.007729468599033816,0.9732689210950082,C,2026-01-01,2026-04-20
34,20,9,360,16,2026-03-09 17:21:35,CUENTAS NACIONALES,0.00644122383252818,0.9797101449275364,C,2026-01-01,2026-04-20
98,12,6,34,4,2026-04-14 12:21:04,MAHOU CANAL,0.003864734299516908,0.9835748792270533,C,2026-01-01,2026-04-20
79,10,8,400,6,2026-04-16 06:18:32,SAN MIGUEL CORPORATIVO,0.00322061191626409,0.9867954911433174,C,2026-01-01,2026-04-20
12,9,4,1307,7,2026-03-26 07:56:46,ESPACIOS CERVECERAS,0.002898550724637681,0.9896940418679551,C,2026-01-01,2026-04-20
64,9,2,738,7,2026-01-22 18:32:27,CORONA,0.002898550724637681,0.9925925925925927,C,2026-01-01,2026-04-20
14,5,2,12,3,2026-04-06 08:30:19,FUNDACION MAHOU SAN MIGUEL,0.001610305958132045,0.9942028985507247,C,2026-01-01,2026-04-20
24,4,4,75,4,2026-02-27 08:34:01,MCC MADRID,0.0012882447665056361,0.9954911433172304,C,2026-01-01,2026-04-20
46,4,1,3004,4,2026-04-09 07:40:21,REFEEL,0.0012882447665056361,0.9967793880837361,C,2026-01-01,2026-04-20
74,3,2,4,3,2026-03-12 11:05:08,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,0.000966183574879227,0.9977455716586153,C,2026-01-01,2026-04-20
16,2,2,864,1,2026-01-26 07:37:58,MAHOU-CRISTINA MENENDEZ,0.0006441223832528181,0.9983896940418682,C,2026-01-01,2026-04-20
76,2,2,8,1,2026-02-05 08:09:47,UNIDAD INTERNACIONAL MARKETING,0.0006441223832528181,0.999033816425121,C,2026-01-01,2026-04-20
87,1,1,912,1,2026-01-29 15:20:19,DCMC - ANA BELEN RUIZ,0.00032206119162640903,0.9993558776167474,C,2026-01-01,2026-04-20
7,1,1,1,1,2026-01-26 09:07:51,CERVECISTAS,0.00032206119162640903,0.9996779388083737,C,2026-01-01,2026-04-20
32,1,1,1,1,2026-03-09 12:46:30,MCC CENTRO - OESTE,0.00032206119162640903,1.0000000000000002,C,2026-01-01,2026-04-20
