pasillo_destino,capacidad_teorica,capacidad_estandar_00,capacidad_estandar_10,capacidad_estandar_20,capacidad_estandar_30,capacidad_estandar_40,penalizacion_10,capacidad_util_resultante
1,540.0,108.0,108.0,108.0,108.0,108.0,79.11,460.89
2,540.0,108.0,108.0,108.0,108.0,108.0,48.39,491.61
3,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
4,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
5,540.0,108.0,108.0,108.0,108.0,108.0,26.0,514.0
6,540.0,108.0,108.0,108.0,108.0,108.0,23.5,516.5
7,540.0,108.0,108.0,108.0,108.0,108.0,48.33,491.67
8,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
9,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
10,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
11,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
12,540.0,108.0,108.0,108.0,108.0,108.0,0.0,540.0
