art,reserva,owner_base,uds,adr,qcnt,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte,estado_conversion,eu_equivalente,modulos_3eu,penaliza_altura_10,impacto_10
102234,29,29,70,AK04006,70,C,12.0,balda_9h,subhueco_balda,5.833333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.648148148148148,0.21604938271604937,False,0.0
186146,29,29,1,AK14206,1,C,1.0,suelo_250,posicion_suelo,1.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA,inferido,1.0,0.3333333333333333,True,1.0
146018,33,33,17,AP04004,1,C,2.0,suelo_126,posicion_suelo,8.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,8.5,2.8333333333333335,False,0.0
103996,71,71,106,AZ11603,106,C,12.0,balda_9h,subhueco_balda,8.833333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.9814814814814815,0.3271604938271605,False,0.0
12036,77,77,24,AV11909,1,A,24.0,balda_9h,subhueco_balda,1.0,match_articulo_propietario; owner=prefijo_RESERVA,soportado,0.1111111111111111,0.037037037037037035,False,0.0
166010,32,32,182,AV10906,182,C,12.0,balda_9h,subhueco_balda,15.166666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,1.6851851851851851,0.5617283950617283,False,0.0
147037,64,64,1,AV08309,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
61039,33,33,22,BB13701,22,C,12.0,balda_9h,subhueco_balda,1.8333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.2037037037037037,0.06790123456790123,False,0.0
21045,29,29,5,AM09804,1,C,2.0,suelo_126,posicion_suelo,2.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,2.5,0.8333333333333334,False,0.0
102646,33,33,3,BA04603,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.027777777777777776,0.009259259259259259,False,0.0
115099,32,32,15,AK01803,15,C,2.0,suelo_126,posicion_suelo,7.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,7.5,2.5,False,0.0
*MULTI*,,sin_asignacion_segura,1,AT07504,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
*MULTI*,,sin_asignacion_segura,1,BB13701,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
98886,64,64,35,AZ01902,35,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
132072,71,71,8,BB09205,8,C,12.0,balda_9h,subhueco_balda,0.6666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.07407407407407407,0.024691358024691357,False,0.0
184198,64,64,1,AZ11801,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,0.5,0.16666666666666666,False,0.0
22054,32,32,3,BB13602,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.5,0.5,False,0.0
121034,33,33,14,BA04603,14,C,12.0,balda_9h,subhueco_balda,1.1666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.12962962962962962,0.04320987654320988,False,0.0
186019,33,33,100,BA04603,100,C,12.0,balda_9h,subhueco_balda,8.333333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.9259259259259259,0.308641975308642,False,0.0
124249,33,33,252,BC09604,1,C,2.0,suelo_126,posicion_suelo,126.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,126.0,42.0,False,0.0
186055,61,61,50,AJ02201,50,C,12.0,balda_9h,subhueco_balda,4.166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.46296296296296297,0.154320987654321,False,0.0
98565,61,61,8,AR09401,8,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
51104,32,32,1,AI10803,1,B,1.0,balda_9h,subhueco_balda,1.0,match_articulo; owner=prefijo_RESERVA,soportado,0.1111111111111111,0.037037037037037035,False,0.0
51299,71,71,1,BA11900,1,C,2.0,TR,posicion_rack,0.5,dimensión larga compatible con TR; owner=prefijo_RESERVA,inferido,1.5,0.5,False,0.0
124256,61,61,240,BA14401,1,C,12.0,balda_9h,subhueco_balda,20.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,2.2222222222222223,0.7407407407407407,False,0.0
44024,32,32,5,BE08500,1,A,3.0,EU,posicion_rack,1.6666666666666667,match_articulo_propietario; owner=prefijo_RESERVA,soportado,1.6666666666666667,0.5555555555555556,False,0.0
