owner,salidas_lineas,salidas_transacciones,volumen_unidades,articulos_con_salida,fecha_ultima_salida,servicios_lineas,servicios_unidades,servicios_ultimos,ranking_operativo_score
23,8947,3333,933384,1190,2026-04-16 11:29:46,1134.0,204039.0,2026-05-17 09:30:00,0.8937474051831066
3,7097,1769,1747073,815,2026-04-16 11:35:47,1305.0,152889.0,2026-12-31 09:00:00,0.7370764268148574
24,8046,2150,1353215,640,2026-02-27 08:34:01,44.0,511.0,2026-04-28 00:00:00,0.6733359788688481
4,4966,2282,1080965,526,2026-04-16 12:38:16,672.0,262380.0,2026-12-07 10:00:00,0.6220472068015838
29,3580,1628,363738,328,2026-04-15 15:03:26,384.0,53490.0,2026-06-01 10:00:00,0.3908141064423562
82,3186,981,680562,91,2026-03-16 12:51:25,775.0,141800.0,2026-07-02 00:00:00,0.35865457719240357
5,2577,1043,364640,379,2026-04-16 12:50:47,208.0,13822.0,2026-04-21 09:30:00,0.27039488570687614
30,1860,521,774881,229,2026-04-16 10:00:48,584.0,323512.0,2026-04-20 11:00:00,0.25563545533552434
33,1493,1007,324785,133,2024-12-12 08:54:24,0.0,0.0,,0.2147388713905275
14,2081,234,87283,587,2026-04-06 08:30:19,51.0,3377.0,2026-05-21 14:00:00,0.10349342964846753
62,730,447,71206,66,2026-04-16 06:12:15,188.0,29191.0,2026-07-09 16:00:00,0.10316326091003977
89,559,353,236753,53,2026-04-16 15:17:34,102.0,24070.0,2026-05-07 00:00:00,0.09805089225476961
61,952,461,51207,156,2026-04-13 09:13:16,33.0,1497.0,2026-04-18 00:00:00,0.09709107548667849
7,1296,350,66481,191,2026-01-26 09:07:51,1.0,1.0,2026-01-27 10:00:00,0.09100973731095355
32,1023,322,74258,273,2026-03-09 12:46:30,0.0,0.0,,0.08041278050180967
96,404,133,134925,96,2026-04-16 13:34:39,443.0,210107.0,2026-04-20 08:00:00,0.07848070799095883
40,440,272,55165,74,2026-02-26 14:04:00,283.0,15271.0,2026-04-16 20:00:00,0.07686798513567622
34,510,258,117777,149,2026-03-09 17:21:35,179.0,9516.0,2026-05-11 10:00:00,0.07613173186583973
6,751,231,41984,118,2026-04-15 14:13:26,0.0,0.0,,0.05682705262947313
64,667,176,30014,209,2026-01-22 18:32:27,12.0,753.0,2026-02-02 18:00:00,0.046600907213376896
49,592,177,27894,55,2024-09-26 13:43:13,2.0,717.0,2025-12-16 12:00:00,0.04363107645717153
95,266,61,61925,69,2026-04-16 19:24:36,228.0,60219.0,2026-04-21 00:00:00,0.0400683872377077
16,353,160,65141,81,2026-01-26 07:37:58,2.0,864.0,2026-01-26 12:00:00,0.038920141799069455
71,347,192,19846,58,2024-10-28 06:51:47,1.0,1.0,2025-10-30 15:00:00,0.03781230750760963
77,333,118,47362,90,2026-04-10 16:07:25,50.0,7837.0,2026-04-12 12:00:00,0.034331827929590504
90,187,131,10794,39,2026-04-16 13:22:52,0.0,0.0,,0.023989860717624628
80,120,31,132462,58,2024-11-18 07:32:07,0.0,0.0,,0.022540371420755663
85,208,64,13159,33,2024-05-09 06:14:58,0.0,0.0,,0.015798835203582953
98,60,41,38881,19,2026-04-14 12:21:04,22.0,165.0,2026-04-20 00:00:00,0.013187082069753102
87,138,45,21609,21,2026-01-29 15:20:19,2.0,1824.0,2026-02-03 23:00:00,0.01239721950443271
31,83,59,3381,23,2024-10-25 13:38:25,0.0,0.0,,0.01051102202085383
97,123,46,7059,52,2024-12-13 12:35:50,0.0,0.0,,0.01029418629365459
86,45,6,11351,25,2026-03-16 07:16:11,69.0,46467.0,2026-04-20 11:00:00,0.008490974381469459
83,15,1,60000,1,2022-09-12 15:32:44,0.0,0.0,,0.007259204163714715
76,125,22,2643,66,2026-02-05 08:09:47,6.0,20.0,2026-02-16 12:00:00,0.0070630178033781145
72,90,27,7227,19,2024-05-24 12:06:19,0.0,0.0,,0.0068251922504514095
70,62,29,2873,24,2023-03-03 08:05:44,0.0,0.0,,0.0058143923025171535
10,41,25,4090,20,2024-04-17 12:35:53,8.0,1154.0,2025-11-19 18:15:00,0.005439667789199238
74,45,19,1518,38,2026-03-12 11:05:08,4.0,24.0,2026-03-12 20:00:00,0.004140175719072319
84,29,19,3744,9,2023-12-04 08:23:09,0.0,0.0,,0.003641362191623226
79,15,13,1271,10,2026-04-16 06:18:32,19.0,580.0,2026-04-17 00:00:00,0.003612637400416143
11,35,6,11243,21,2024-08-27 15:02:39,0.0,0.0,,0.0029117999763233356
60,25,11,6477,11,2024-09-27 07:32:13,0.0,0.0,,0.0027620154394393795
25,75,2,1673,61,2024-10-08 12:51:15,0.0,0.0,,0.0023938514808832293
20,59,5,856,38,2024-12-17 15:50:34,0.0,0.0,,0.002258358156214439
17,20,10,2473,15,2023-12-27 07:40:31,0.0,0.0,,0.0020288659402820835
21,9,9,2376,1,2022-11-15 15:18:23,0.0,0.0,,0.0015753076382515208
12,10,5,1308,8,2026-03-26 07:56:46,8.0,1307.0,2026-03-27 10:00:00,0.0015538017681612335
51,13,6,1062,11,2024-04-01 15:33:19,0.0,0.0,,0.0011315038369264139
36,7,7,9,4,2022-11-28 12:42:49,0.0,0.0,,0.000978340265271954
46,4,1,3004,4,2026-04-09 07:40:21,7.0,3008.0,2026-04-15 00:00:00,0.000963438599840405
39,6,6,1296,1,2023-04-30 09:38:12,0.0,0.0,,0.0009626734369793666
44,12,4,1380,3,2023-12-22 07:35:49,0.0,0.0,,0.0008698542132574909
73,6,5,6,1,2023-10-04 18:19:52,1.0,2.0,2025-11-06 10:00:00,0.000756571691328304
43,5,5,142,1,2023-03-28 08:44:13,0.0,0.0,,0.0006675668390614583
56,5,5,30,3,2023-11-03 14:20:30,0.0,0.0,,0.000654745350246204
22,9,3,34,5,2023-12-20 08:52:14,0.0,0.0,,0.0004968770192663945
81,4,2,2235,2,2023-04-26 12:27:42,0.0,0.0,,0.00047406089598993215
92,2,2,313,1,2024-10-29 08:29:37,0.0,0.0,,0.0001981440887525471
9,2,1,12,2,2022-04-26 07:54:53,0.0,0.0,,2.863231595290752e-05
67,1,1,24,1,2023-12-18 08:35:41,0.0,0.0,,2.0605964167373087e-06
