ubicacion,owner,article,tipologia,width,stock_pal_total,pallet_rows,denominacion,pasillo,columna,altura,denominacion_propietario
006-002-40,3,31184,AM,AM,41.0,1,SILLA DIRECTOR TELA VERDE CELOSIA ALHAMB,6.0,2.0,40.0,ALHAMBRA
006-006-40,82,22213,AM,AM,8.0,1,MESA CUADRADA MONACO BRUTUS NEGRA MARMOL,6.0,6.0,40.0,BRUTUS DESARROLLO COMERCIAL
006-007-30,24,31004,AM,AM,20.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,6.0,7.0,30.0,MCC MADRID
006-011-30,24,31045,AM,AM,24.0,1,SILLA TERRAZA MARRON MAHOU IRRADIACION,6.0,11.0,30.0,MCC MADRID
006-013-30,34,31099,AM,AM,24.0,1,SILLA TERRAZA IRRADIACION BEIGE MAHOU,6.0,13.0,30.0,CUENTAS NACIONALES
006-014-40,82,22213,AM,AM,5.0,1,MESA CUADRADA MONACO BRUTUS NEGRA MARMOL,6.0,14.0,40.0,BRUTUS DESARROLLO COMERCIAL
006-017-30,34,31099,AM,AM,10.0,1,SILLA TERRAZA IRRADIACION BEIGE MAHOU,6.0,17.0,30.0,CUENTAS NACIONALES
006-017-40,34,22043,AM,AM,18.0,1,MESA BLANCA PATA MARRON TERRAZA MAHOU,6.0,17.0,40.0,CUENTAS NACIONALES
006-019-30,34,31091,AM,AM,17.0,1,SILLA TERRAZA LAMAS MARMOLADA MAHOU19,6.0,19.0,30.0,CUENTAS NACIONALES
006-019-40,24,31011,AM,AM,20.0,1,SILLA TERRAZA BLANCA CERVEZAS ALHAMBRA,6.0,19.0,40.0,MCC MADRID
006-020-40,24,31047,AM,AM,26.0,1,SILLA PLASTICO MARRON DESDE 1890 MAHOU,6.0,20.0,40.0,MCC MADRID
006-023-30,14,31004,AM,AM,13.0,1,SILLA TERRAZA ROJA LAMAS MAHOU,6.0,23.0,30.0,FUNDACION MAHOU SAN MIGUEL
006-023-40,82,22218,AM,AM,15.0,1,MESA MONACO CUADRADA MARMOL BLANCO 2 LOG,6.0,23.0,40.0,BRUTUS DESARROLLO COMERCIAL
