ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
006-002-40,[3],1,['31184'],1,AM,AM,41.0,6.0,2.0,40.0,ALHAMBRA,3,3,posicion_rack,1.5
006-006-40,[82],1,['22213'],1,AM,AM,8.0,6.0,6.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-007-30,[24],1,['31004'],1,AM,AM,20.0,6.0,7.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
006-011-30,[24],1,['31045'],1,AM,AM,24.0,6.0,11.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
006-013-30,[34],1,['31099'],1,AM,AM,24.0,6.0,13.0,30.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-014-40,[82],1,['22213'],1,AM,AM,5.0,6.0,14.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-017-30,[34],1,['31099'],1,AM,AM,10.0,6.0,17.0,30.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-017-40,[34],1,['22043'],1,AM,AM,18.0,6.0,17.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-019-30,[34],1,['31091'],1,AM,AM,17.0,6.0,19.0,30.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-019-40,[24],1,['31011'],1,AM,AM,20.0,6.0,19.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
006-020-40,[24],1,['31047'],1,AM,AM,26.0,6.0,20.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
006-023-30,[14],1,['31004'],1,AM,AM,13.0,6.0,23.0,30.0,FUNDACION MAHOU SAN MIGUEL,14,14,posicion_rack,1.5
006-023-40,[82],1,['22218'],1,AM,AM,15.0,6.0,23.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-024-40,[24],1,['31043'],1,AM,AM,26.0,6.0,24.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
006-025-30,[3],1,['31171'],1,AM,AM,8.0,6.0,25.0,30.0,ALHAMBRA,3,3,posicion_rack,1.5
006-025-40,[34],1,['31047'],1,AM,AM,16.0,6.0,25.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-026-00,[12],1,['96035'],1,AM,AM,8.0,6.0,26.0,0.0,ESPACIOS CERVECERAS,12,12,posicion_rack,1.5
006-029-40,[34],1,['31047'],1,AM,AM,26.0,6.0,29.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-031-40,[34],1,['22138'],1,AM,AM,20.0,6.0,31.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-035-40,[34],1,['31047'],1,AM,AM,24.0,6.0,35.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-036-00,[96],1,['202011'],1,AM,AM,3.0,6.0,36.0,0.0,VENUES,96,96,posicion_rack,1.5
006-037-40,[34],1,['31047'],1,AM,AM,26.0,6.0,37.0,40.0,CUENTAS NACIONALES,34,34,posicion_rack,1.5
006-041-40,[82],1,['32138'],1,AM,AM,10.0,6.0,41.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-042-40,[82],1,['32138'],1,AM,AM,8.0,6.0,42.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-047-40,[82],1,['32138'],1,AM,AM,10.0,6.0,47.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-048-40,[82],1,['32138'],1,AM,AM,8.0,6.0,48.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-053-40,[82],1,['32138'],1,AM,AM,10.0,6.0,53.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-054-40,[82],1,['22218'],1,AM,AM,7.0,6.0,54.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-055-40,[82],1,['32138'],1,AM,AM,4.0,6.0,55.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-059-40,[82],1,['32138'],1,AM,AM,10.0,6.0,59.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-061-40,[82],1,['32138'],1,AM,AM,8.0,6.0,61.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-065-40,[82],1,['32138'],1,AM,AM,10.0,6.0,65.0,40.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_rack,1.5
006-076-00,[29],1,['206050'],1,AM,AM,6.0,6.0,76.0,0.0,MAHOU FUTBOL,29,29,posicion_rack,1.5
006-080-00,[30],1,['41065'],1,suelo_estandar,S,2.0,6.0,80.0,0.0,EVENTOS COMERCIALES,30,30,posicion_suelo,1.0
