propietario,owner_name,ranking_operativo,pasillo_destino,floor_positions_allocated
23,MAHOU-MARKETING OCIO,1,1,88
3,ALHAMBRA,2,1,20
3,ALHAMBRA,2,2,108
3,ALHAMBRA,2,3,108
3,ALHAMBRA,2,4,20
4,SOLAN,3,4,84
30,EVENTOS COMERCIALES,4,4,4
30,EVENTOS COMERCIALES,4,5,16
95,INNOVACION,5,5,34
96,VENUES,6,5,58
96,VENUES,6,6,16
29,MAHOU FUTBOL,7,6,49
6,CRAFT,8,6,12
82,BRUTUS DESARROLLO COMERCIAL,9,6,31
82,BRUTUS DESARROLLO COMERCIAL,9,7,10
5,SAN MIGUEL,10,7,76
62,MAHOU JOVEN,11,7,19
89,BRAND MANAGEMENT MERCADO,12,7,3
89,BRAND MANAGEMENT MERCADO,12,8,9
86,GOLF,13,8,7
90,HUB CONTENIDO & ACTIVACION,14,8,4
61,MAHOU CORPORATIVO,15,8,32
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,16,8,38
34,CUENTAS NACIONALES,17,8,18
34,CUENTAS NACIONALES,17,9,28
98,MAHOU CANAL,18,9,18
79,SAN MIGUEL CORPORATIVO,19,9,3
12,ESPACIOS CERVECERAS,20,9,8
64,CORONA,21,9,35
14,FUNDACION MAHOU SAN MIGUEL,22,9,16
14,FUNDACION MAHOU SAN MIGUEL,22,10,20
24,MCC MADRID,23,10,88
24,MCC MADRID,23,11,26
46,REFEEL,24,11,1
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,25,11,10
76,UNIDAD INTERNACIONAL MARKETING,26,11,17
32,MCC CENTRO - OESTE,27,11,16
7,CERVECISTAS,28,11,5
33,IPA,29,11,33
33,IPA,29,12,1
71,BUDWEISER,30,12,10
80,ABI HORECA,31,12,6
37,ALHAMBRA CORPORATIVO,32,12,7
72,LA SALVE,33,12,5
49,MAHOU - SANDRINE GIRAUD,34,12,4
21,MIXTA,35,12,2
51,MCC BILBAO,36,12,2
60,MARCOS CELEIRO,37,12,47
