pasillo_destino,propietario,owner_name,rangos_suelo,rangos_fisicos,posicion_desde_global,posicion_hasta_global,posiciones_totales
1,3,ALHAMBRA,014-033 (suelo_300),impar:027-065,14,33,20
1,23,MAHOU-MARKETING OCIO,001-013 (suelo_300) | 034-048 (suelo_300) | 049-078 (suelo_250) | 079-090 (suelo_250) | 091-108 (suelo_126),impar:001-025 | impar:067-095 | impar:097-107 | par:002-048 | par:050-072 | par:074-108,1,108,88
2,3,ALHAMBRA,001-010 (suelo_300) | 011-030 (suelo_300) | 031-074 (suelo_250) | 075-090 (suelo_250) | 091-105 (suelo_126) | 106-108 (suelo_126),impar:001-019 | impar:021-059 | impar:061-107 | par:002-040 | par:042-072 | par:074-102 | par:104-108,1,108,108
3,3,ALHAMBRA,001-021 (suelo_300) | 022-057 (suelo_250) | 058-087 (suelo_126) | 088-090 (balda_9h) | 091-108 (normal),impar:001-041 | impar:043-107 | par:002-006 | par:008-066 | par:068-072 | par:074-108,1,108,108
4,3,ALHAMBRA,007-010 (suelo_300) | 044-050 (suelo_250) | 080-085 (suelo_126) | 099-099 (balda_9h) | 103-104 (normal),impar:013-019 | impar:087-099 | par:052-062 | par:090 | par:098-100,7,104,20
4,4,SOLAN,001-006 (suelo_300) | 011-024 (suelo_300) | 025-039 (suelo_250) | 051-069 (suelo_250) | 070-079 (suelo_126) | 086-096 (suelo_126) | 097-098 (balda_9h) | 100-102 (balda_9h) | 105-108 (normal),impar:001-011 | impar:021-047 | impar:049-077 | impar:101-107 | par:002-030 | par:032-050 | par:064-084 | par:086-088 | par:092-096 | par:102-108,1,108,84
4,30,EVENTOS COMERCIALES,040-043 (suelo_250),impar:079-085,40,43,4
5,30,EVENTOS COMERCIALES,011-014 (suelo_300) | 031-031 (suelo_250) | 045-049 (suelo_250) | 070-074 (suelo_126) | 082-082 (suelo_126),impar:021-027 | impar:061 | impar:089-097 | par:032-040 | par:056,11,82,16
5,95,INNOVACION,001-006 (suelo_300) | 015-019 (suelo_300) | 032-032 (suelo_250) | 050-057 (suelo_250) | 083-089 (suelo_126) | 097-097 (balda_9h) | 102-102 (balda_9h) | 103-107 (normal),impar:001-011 | impar:029-037 | impar:063 | impar:099-107 | par:002-006 | par:058-070 | par:086 | par:096 | par:098-106,1,107,34
5,96,VENUES,007-010 (suelo_300) | 020-030 (suelo_300) | 033-044 (suelo_250) | 058-069 (suelo_250) | 075-081 (suelo_126) | 090-096 (suelo_126) | 098-101 (balda_9h) | 108-108 (normal),impar:013-019 | impar:039-059 | impar:065-087 | par:008-030 | par:042-054 | par:072-084 | par:088-094 | par:108,7,108,58
