pasillo_destino,suelo_300_posiciones,suelo_300_tramos,suelo_250_posiciones,suelo_250_tramos,suelo_126_posiciones,suelo_126_tramos,balda_9h_posiciones,balda_9h_tramos
1,48,impar:001-025 (23 MAHOU-MARKETING OCIO) | impar:027-065 (3 ALHAMBRA) | impar:067-095 (23 MAHOU-MARKETING OCIO),42,impar:097-107 | par:002-048 (23 MAHOU-MARKETING OCIO) | par:050-072 (23 MAHOU-MARKETING OCIO),18,par:074-108 (23 MAHOU-MARKETING OCIO),0,
2,30,impar:001-019 (3 ALHAMBRA) | impar:021-059 (3 ALHAMBRA),60,impar:061-107 | par:002-040 (3 ALHAMBRA) | par:042-072 (3 ALHAMBRA),18,par:074-102 (3 ALHAMBRA) | par:104-108 (3 ALHAMBRA),0,
3,21,impar:001-041 (3 ALHAMBRA),36,impar:043-107 | par:002-006 (3 ALHAMBRA),30,par:008-066 (3 ALHAMBRA),3,par:068-072 (3 ALHAMBRA)
4,24,impar:001-011 (4 SOLAN) | impar:013-019 (3 ALHAMBRA) | impar:021-047 (4 SOLAN),45,impar:049-077 (4 SOLAN) | impar:079-085 (30 EVENTOS COMERCIALES) | impar:087-099 (3 ALHAMBRA) | impar:101-107 | par:002-030 (4 SOLAN),27,par:032-050 (4 SOLAN) | par:052-062 (3 ALHAMBRA) | par:064-084 (4 SOLAN),6,par:086-088 (4 SOLAN) | par:090 (3 ALHAMBRA) | par:092-096 (4 SOLAN)
5,30,impar:001-011 (95 INNOVACION) | impar:013-019 (96 VENUES) | impar:021-027 (30 EVENTOS COMERCIALES) | impar:029-037 (95 INNOVACION) | impar:039-059 (96 VENUES),39,impar:061 (30 EVENTOS COMERCIALES) | impar:063 (95 INNOVACION) | impar:065-087 (96 VENUES) | impar:089-097 (30 EVENTOS COMERCIALES) | impar:099-107 | par:002-006 (95 INNOVACION) | par:008-030 (96 VENUES),27,par:032-040 (30 EVENTOS COMERCIALES) | par:042-054 (96 VENUES) | par:056 (30 EVENTOS COMERCIALES) | par:058-070 (95 INNOVACION) | par:072-084 (96 VENUES),6,par:086 (95 INNOVACION) | par:088-094 (96 VENUES) | par:096 (95 INNOVACION)
6,27,impar:001-017 (29 MAHOU FUTBOL) | impar:019-021 (96 VENUES) | impar:023-037 (29 MAHOU FUTBOL) | impar:039-041 (6 CRAFT) | impar:043-053 (82 BRUTUS DESARROLLO COMERCIAL),45,impar:055-061 (29 MAHOU FUTBOL) | impar:063-093 (82 BRUTUS DESARROLLO COMERCIAL) | impar:095-103 (96 VENUES) | impar:105-107 | par:002-022 (29 MAHOU FUTBOL) | par:024-028 (6 CRAFT) | par:030-036 (82 BRUTUS DESARROLLO COMERCIAL),24,par:038-048 (29 MAHOU FUTBOL) | par:050 (6 CRAFT) | par:052 (82 BRUTUS DESARROLLO COMERCIAL) | par:054-062 (96 VENUES) | par:064-074 (29 MAHOU FUTBOL) | par:076-080 (6 CRAFT) | par:082-084 (82 BRUTUS DESARROLLO COMERCIAL),3,par:086 (29 MAHOU FUTBOL) | par:088 (6 CRAFT) | par:090 (96 VENUES)
7,30,impar:001-021 (5 SAN MIGUEL) | impar:023 (89 BRAND MANAGEMENT MERCADO) | impar:025-027 (82 BRUTUS DESARROLLO COMERCIAL) | impar:029-053 (5 SAN MIGUEL) | impar:055-059 (62 MAHOU JOVEN),51,impar:061-107 | par:002-004 (5 SAN MIGUEL) | par:006-016 (62 MAHOU JOVEN) | par:018-020 (89 BRAND MANAGEMENT MERCADO) | par:022-026 (82 BRUTUS DESARROLLO COMERCIAL) | par:028-046 (5 SAN MIGUEL) | par:048-054 (62 MAHOU JOVEN),18,par:056-066 (5 SAN MIGUEL) | par:068-070 (62 MAHOU JOVEN) | par:072-076 (82 BRUTUS DESARROLLO COMERCIAL) | par:078-086 (5 SAN MIGUEL) | par:088-090 (62 MAHOU JOVEN),6,par:092-098 (5 SAN MIGUEL) | par:100 (82 BRUTUS DESARROLLO COMERCIAL) | par:102 (62 MAHOU JOVEN)
8,24,impar:001 (86 GOLF) | impar:003 (90 HUB CONTENIDO & ACTIVACION) | impar:005 (61 MAHOU CORPORATIVO) | impar:007-011 (34 CUENTAS NACIONALES) | impar:013-015 (89 BRAND MANAGEMENT MERCADO) | impar:017 (86 GOLF) | impar:019-029 (61 MAHOU CORPORATIVO) | impar:031-041 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD) | impar:043-047 (34 CUENTAS NACIONALES),48,impar:049-055 (89 BRAND MANAGEMENT MERCADO) | impar:057 (90 HUB CONTENIDO & ACTIVACION) | impar:059-063 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD) | impar:065-087 (34 CUENTAS NACIONALES) | impar:089 (89 BRAND MANAGEMENT MERCADO) | impar:091-093 (86 GOLF) | impar:095 (90 HUB CONTENIDO & ACTIVACION) | impar:097-107 | par:002-010 (61 MAHOU CORPORATIVO) | par:012-036 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD),21,par:038-040 (89 BRAND MANAGEMENT MERCADO) | par:042 (86 GOLF) | par:044 (86 GOLF) | par:046 (90 HUB CONTENIDO & ACTIVACION) | par:048-062 (61 MAHOU CORPORATIVO) | par:064-078 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD),6,par:080 (61 MAHOU CORPORATIVO) | par:082-084 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD) | par:086 (61 MAHOU CORPORATIVO) | par:088-090 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD)
9,33,impar:001-003 (98 MAHOU CANAL) | impar:005-021 (64 CORONA) | impar:023-025 (14 FUNDACION MAHOU SAN MIGUEL) | impar:027-037 (34 CUENTAS NACIONALES) | impar:039-043 (98 MAHOU CANAL) | impar:045 (79 SAN MIGUEL CORPORATIVO) | impar:047-049 (12 ESPACIOS CERVECERAS) | impar:051-059 (64 CORONA) | impar:061-065 (14 FUNDACION MAHOU SAN MIGUEL),42,impar:067-083 (34 CUENTAS NACIONALES) | impar:085-089 (98 MAHOU CANAL) | impar:091-093 (12 ESPACIOS CERVECERAS) | impar:095-103 (64 CORONA) | impar:105-107 | par:002 (14 FUNDACION MAHOU SAN MIGUEL) | par:004-012 (34 CUENTAS NACIONALES) | par:014-020 (98 MAHOU CANAL) | par:022 (79 SAN MIGUEL CORPORATIVO) | par:024 (12 ESPACIOS CERVECERAS) | par:026-036 (64 CORONA) | par:038-042 (14 FUNDACION MAHOU SAN MIGUEL),24,par:044-056 (34 CUENTAS NACIONALES) | par:058-060 (98 MAHOU CANAL) | par:062 (64 CORONA) | par:064 (14 FUNDACION MAHOU SAN MIGUEL) | par:066 (34 CUENTAS NACIONALES) | par:068-070 (98 MAHOU CANAL) | par:072 (79 SAN MIGUEL CORPORATIVO) | par:074-076 (12 ESPACIOS CERVECERAS) | par:078-086 (64 CORONA) | par:088-090 (14 FUNDACION MAHOU SAN MIGUEL),9,par:092-094 (14 FUNDACION MAHOU SAN MIGUEL) | par:096-098 (98 MAHOU CANAL) | par:100 (12 ESPACIOS CERVECERAS) | par:102-108 (64 CORONA)
10,27,impar:001-013 (24 MCC MADRID) | impar:015-019 (14 FUNDACION MAHOU SAN MIGUEL) | impar:021-053 (24 MCC MADRID),39,impar:055-083 (24 MCC MADRID) | impar:085-091 (14 FUNDACION MAHOU SAN MIGUEL) | impar:093-107 | par:002-024 (24 MCC MADRID),24,par:026-036 (24 MCC MADRID) | par:038-046 (14 FUNDACION MAHOU SAN MIGUEL) | par:048-072 (24 MCC MADRID),3,par:074 (14 FUNDACION MAHOU SAN MIGUEL) | par:076-078 (24 MCC MADRID)
