pasillo_destino,posicion_desde,posicion_hasta,tipologia,propietario,owner_name,tipo_bloque,padding_modulo_3eu,lado_destino,tramo_fisico
1,1,13,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:001-025
1,14,33,suelo_300,3,ALHAMBRA,especial,0,impar,impar:027-065
1,34,48,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:067-095
1,49,78,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,impar | par,impar:097-107 | par:002-048
1,79,90,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,par,par:050-072
1,91,108,suelo_126,23,MAHOU-MARKETING OCIO,especial,0,par,par:074-108
2,1,10,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-019
2,11,30,suelo_300,3,ALHAMBRA,especial,0,impar,impar:021-059
2,31,74,suelo_250,3,ALHAMBRA,especial,0,impar | par,impar:061-107 | par:002-040
2,75,90,suelo_250,3,ALHAMBRA,especial,0,par,par:042-072
2,91,105,suelo_126,3,ALHAMBRA,especial,0,par,par:074-102
2,106,108,suelo_126,3,ALHAMBRA,especial,0,par,par:104-108
3,1,21,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-041
3,22,57,suelo_250,3,ALHAMBRA,especial,0,impar | par,impar:043-107 | par:002-006
3,58,87,suelo_126,3,ALHAMBRA,especial,0,par,par:008-066
3,88,90,balda_9h,3,ALHAMBRA,especial,0,par,par:068-072
3,91,108,normal,3,ALHAMBRA,normal,0,par,par:074-108
4,1,6,suelo_300,4,SOLAN,especial,0,impar,impar:001-011
4,7,10,suelo_300,3,ALHAMBRA,especial,0,impar,impar:013-019
4,11,24,suelo_300,4,SOLAN,especial,0,impar,impar:021-047
4,25,39,suelo_250,4,SOLAN,especial,0,impar,impar:049-077
4,40,43,suelo_250,30,EVENTOS COMERCIALES,especial,0,impar,impar:079-085
4,44,50,suelo_250,3,ALHAMBRA,especial,0,impar,impar:087-099
4,51,69,suelo_250,4,SOLAN,especial,0,impar | par,impar:101-107 | par:002-030
4,70,79,suelo_126,4,SOLAN,especial,0,par,par:032-050
4,80,85,suelo_126,3,ALHAMBRA,especial,0,par,par:052-062
4,86,96,suelo_126,4,SOLAN,especial,0,par,par:064-084
4,97,98,balda_9h,4,SOLAN,especial,0,par,par:086-088
4,99,99,balda_9h,3,ALHAMBRA,especial,0,par,par:090
4,100,102,balda_9h,4,SOLAN,especial,0,par,par:092-096
4,103,104,normal,3,ALHAMBRA,normal,0,par,par:098-100
4,105,108,normal,4,SOLAN,normal,0,par,par:102-108
5,1,6,suelo_300,95,INNOVACION,especial,0,impar,impar:001-011
5,7,10,suelo_300,96,VENUES,especial,0,impar,impar:013-019
5,11,14,suelo_300,30,EVENTOS COMERCIALES,especial,0,impar,impar:021-027
5,15,19,suelo_300,95,INNOVACION,especial,0,impar,impar:029-037
5,20,30,suelo_300,96,VENUES,especial,0,impar,impar:039-059
5,31,31,suelo_250,30,EVENTOS COMERCIALES,especial,0,impar,impar:061
5,32,32,suelo_250,95,INNOVACION,especial,0,impar,impar:063
5,33,44,suelo_250,96,VENUES,especial,0,impar,impar:065-087
5,45,49,suelo_250,30,EVENTOS COMERCIALES,especial,0,impar,impar:089-097
5,50,57,suelo_250,95,INNOVACION,especial,0,impar | par,impar:099-107 | par:002-006
5,58,69,suelo_250,96,VENUES,especial,0,par,par:008-030
5,70,74,suelo_126,30,EVENTOS COMERCIALES,especial,0,par,par:032-040
5,75,81,suelo_126,96,VENUES,especial,0,par,par:042-054
5,82,82,suelo_126,30,EVENTOS COMERCIALES,especial,0,par,par:056
