pasillo_destino,propietario,tipologia,mandatory_positions
1,3,suelo_300,20
2,3,suelo_300,10
2,3,suelo_250,44
2,3,suelo_126,15
2,3,balda_9h,15
4,4,suelo_300,6
4,4,suelo_250,15
4,4,suelo_126,10
4,4,balda_9h,2
7,5,suelo_300,11
7,5,suelo_250,26
7,5,suelo_126,6
7,5,balda_9h,4
6,6,suelo_126,1
6,6,balda_9h,1
9,12,suelo_250,2
9,14,suelo_300,2
9,14,suelo_250,3
9,14,suelo_126,1
9,14,balda_9h,7
1,23,suelo_300,13
1,23,suelo_250,30
1,23,suelo_126,22
1,23,balda_9h,4
10,24,suelo_300,7
10,24,suelo_250,15
10,24,suelo_126,6
6,29,suelo_300,9
6,29,suelo_250,4
6,29,suelo_126,6
6,29,balda_9h,1
4,30,suelo_250,4
5,30,suelo_250,1
5,30,suelo_126,5
5,30,balda_9h,1
11,32,suelo_300,3
11,32,suelo_250,3
11,32,suelo_126,1
11,32,balda_9h,1
8,34,suelo_300,3
8,34,suelo_250,15
9,34,suelo_250,9
9,34,suelo_126,7
9,34,balda_9h,3
12,37,suelo_250,4
12,51,suelo_300,1
8,61,suelo_300,1
8,61,balda_9h,1
7,62,suelo_250,6
7,62,suelo_126,2
9,64,suelo_300,9
9,64,suelo_250,5
9,64,suelo_126,1
12,71,suelo_300,2
12,71,suelo_250,4
12,71,suelo_126,2
11,74,suelo_300,1
11,74,suelo_250,5
11,76,suelo_300,7
11,76,suelo_250,8
11,76,suelo_126,1
11,76,balda_9h,1
8,77,suelo_250,3
8,77,balda_9h,2
9,79,balda_9h,1
12,80,suelo_250,1
12,80,suelo_126,2
6,82,suelo_250,16
6,82,suelo_126,1
8,86,suelo_300,1
8,86,suelo_126,1
7,89,suelo_300,1
7,89,suelo_250,2
8,89,suelo_250,4
8,89,suelo_126,2
8,89,balda_9h,1
8,90,suelo_300,1
8,90,suelo_250,1
8,90,balda_9h,1
5,95,suelo_300,6
5,95,suelo_250,1
5,95,balda_9h,1
5,96,suelo_300,4
5,96,suelo_250,12
5,96,suelo_126,7
5,96,balda_9h,4
9,98,suelo_300,2
9,98,suelo_250,3
9,98,suelo_126,2
