propietario,owner_name,demanda_actual_eu,demanda_actual_am,demanda_actual_tr,suelo_estandar_actual,suelo_250_actual,suelo_300_actual,suelo_126_actual,balda_9h_actual,externo_soportado_total,externo_inferido_total,externo_revision_manual,total_recomendado_90,balda_9h,suelo_126,suelo_250,penalty_10_soportado,balda_9h_all,suelo_126_all,suelo_250_all,suelo_300_all,penalty_10_all,suelo_300,current_eq,supported_eq,suelo_250_total,suelo_300_total,suelo_126_total,balda_9h_total_subhuecos,balda_9h_total_posiciones_suelo,suelo_250_total_all,suelo_300_total_all,suelo_126_total_all,balda_9h_total_subhuecos_all,balda_9h_total_posiciones_suelo_all,special_floor_positions_total,special_floor_positions_total_all,penalty_10_total,penalty_10_total_all,floor_positions_required_90,floor_positions_required_fit,conditioned_extra_eq,floor_positions_required_layout,suelo_250_total_layout,suelo_300_total_layout,suelo_126_total_layout,balda_9h_total_posiciones_suelo_layout,penalty_10_total_layout,layout_support_status,buffer_positions_to_90,salidas_lineas,salidas_transacciones,volumen_unidades,servicios_lineas,ranking_operativo_score,salidas_lineas_2026,salidas_transacciones_2026,volumen_unidades_2026,ultima_salida_2026,observed_suelo_250,observed_suelo_300,observed_suelo_126,observed_balda_subhuecos,ranking_mode
23,MAHOU-MARKETING OCIO,214.0,39.0,11.0,14.0,30.0,13.0,22.0,40.0,3.7,18.55555555555556,0.0,436.2716049382716,0.0,0.0,0.0,0.0,99.5,0.5,7.0,0.0,7.0,0.0,388.94444444444446,392.64444444444445,30.0,13.0,22.0,40.0,5,37.0,13.0,22.5,139.5,16,70.0,88.5,43.0,57.0,96.0,88.0,18.55555555555556,88.0,30.0,13.0,22.0,5,43.0,base_soportada,8.0,8947.0,3333.0,933384.0,1134.0,0.8937474051831066,428.0,108.0,69587.0,1776338986000000000,30,13,22,40,rotacion_2026_strict
3,ALHAMBRA,440.0,94.0,47.0,16.0,44.0,30.0,15.0,158.0,353.4280718109187,154.9560185185185,0.0,1331.0929192960823,0.7142857142857143,0.0,2.0,2.0,1377.8809523809525,0.0,2.0,1.0,3.0,0.0,844.5555555555555,1197.9836273664741,46.0,30.0,15.0,158.71428571428572,18,46.0,31.0,15.0,1535.8809523809525,171,109.0,263.0,78.0,80.0,282.0,256.0,154.9560185185185,256.0,46.0,30.0,15.0,18,78.0,base_soportada,26.0,7097.0,1769.0,1747073.0,1305.0,0.7370764268148574,405.0,130.0,40695.0,1776339347000000000,44,30,15,158,rotacion_2026_strict
4,SOLAN,306.0,12.0,11.0,9.0,15.0,6.0,10.0,17.0,0.0,8.703703703703706,0.0,443.2098765432099,0.0,0.0,0.0,0.0,13.833333333333334,3.0,2.0,0.5,2.5,0.0,398.8888888888889,398.8888888888889,15.0,6.0,10.0,17.0,2,17.0,6.5,13.0,30.833333333333336,4,33.0,40.5,21.0,26.0,93.0,84.0,8.703703703703706,84.0,15.0,6.0,10.0,2,21.0,base_soportada,9.0,4966.0,2282.0,1080965.0,672.0,0.6220472068015838,373.0,147.0,96965.0,1776343096000000000,15,6,10,17,rotacion_2026_strict
30,EVENTOS COMERCIALES,78.0,0.0,1.0,1.0,5.0,0.0,5.0,13.0,0.0,3.333333333333333,0.0,103.82716049382717,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,93.44444444444444,93.44444444444444,5.0,0.0,5.0,13.0,2,5.0,0.0,5.0,43.0,5,12.0,15.0,5.0,5.0,22.0,20.0,3.333333333333333,20.0,5.0,0.0,5.0,2,5.0,base_soportada,2.0,1860.0,521.0,774881.0,584.0,0.25563545533552434,351.0,68.0,277131.0,1776333648000000000,5,0,5,13,rotacion_2026_strict
95,INNOVACION,145.0,2.0,2.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,180.74074074074076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.66666666666666,162.66666666666666,1.0,6.0,0.0,6.0,1,1.0,6.0,0.0,6.0,1,8.0,8.0,7.0,7.0,38.0,34.0,0.0,34.0,1.0,6.0,0.0,1,7.0,base_soportada,4.0,266.0,61.0,61925.0,228.0,0.0400683872377077,243.0,45.0,60187.0,1776367476000000000,1,6,0,6,rotacion_2026_strict
96,VENUES,211.0,10.0,32.0,2.0,12.0,4.0,7.0,38.0,0.2258064516129032,0.0,0.0,390.4978096375946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.22222222222223,351.44802867383515,12.0,4.0,7.0,38.0,5,12.0,4.0,7.0,38.0,5,28.0,28.0,16.0,16.0,82.0,74.0,0.0,74.0,12.0,4.0,7.0,5,16.0,base_soportada,8.0,404.0,133.0,134925.0,443.0,0.07848070799095883,190.0,55.0,119863.0,1776346479000000000,12,4,7,38,rotacion_2026_strict
29,MAHOU FUTBOL,65.0,9.0,4.0,5.0,4.0,9.0,6.0,12.0,109.84910677089388,2932.0694444444416,0.0,250.75826678247464,182.33333333333334,2.6176470588235294,1.3333333333333333,1.3333333333333333,746.5833333333334,2831.6176470588234,28.333333333333332,7.0,35.33333333333333,0.0,115.83333333333333,225.68244010422723,5.333333333333333,9.0,8.617647058823529,194.33333333333334,22,32.33333333333333,16.0,2837.6176470588234,758.5833333333334,85,44.950980392156865,2970.950980392157,15.666666666666666,83.66666666666666,54.0,49.0,2932.0694444444416,49.0,5.333333333333333,9.0,8.617647058823529,22,15.666666666666666,base_soportada,5.0,3580.0,1628.0,363738.0,384.0,0.3908141064423562,188.0,82.0,20352.0,1776265406000000000,4,9,6,12,rotacion_2026_strict
6,CRAFT,44.0,1.0,2.0,2.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,62.28395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.05555555555556,56.05555555555556,0.0,0.0,1.0,14.0,2,0.0,0.0,1.0,14.0,2,3.0,3.0,0.0,0.0,13.0,12.0,0.0,12.0,0.0,0.0,1.0,2,0.0,base_soportada,1.0,751.0,231.0,41984.0,0.0,0.05682705262947313,121.0,48.0,6078.0,1776262406000000000,0,0,1,14,rotacion_2026_strict
82,BRUTUS DESARROLLO COMERCIAL,120.0,29.0,1.0,1.0,16.0,0.0,1.0,0.0,0.0,0.8333333333333333,0.0,205.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,184.5,184.5,16.0,0.0,1.0,0.0,0,16.0,0.0,1.0,7.5,1,17.0,18.0,16.0,16.0,45.0,41.0,0.8333333333333333,41.0,16.0,0.0,1.0,0,16.0,base_soportada,4.0,3186.0,981.0,680562.0,775.0,0.35865457719240357,111.0,36.0,28694.0,1773665485000000000,16,0,1,0,rotacion_2026_strict
5,SAN MIGUEL,172.0,22.0,24.0,14.0,26.0,11.0,6.0,48.0,3.191626092691072,3.1875,0.0,380.5832882511382,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,339.3333333333333,342.5249594260244,26.0,11.0,6.0,48.0,6,29.0,11.0,6.0,48.0,6,49.0,52.0,37.0,43.0,84.0,76.0,3.1875,76.0,26.0,11.0,6.0,6,37.0,base_soportada,8.0,2577.0,1043.0,364640.0,208.0,0.27039488570687614,110.0,42.0,10706.0,1776343847000000000,26,11,6,48,rotacion_2026_strict
