pasillo_destino,propietarios,posiciones_asignadas,picking_lineas_asignadas_2026,picking_transacciones_asignadas_2026,eu_asignado,am_asignado,tr_asignado,am_tr_asignado,truck_type_compromise
1,2,108,459.640625,118.15625,248.375,46.34375,14.671875,61.015625,retractil
2,1,108,170.859375,54.84375,185.625,39.65625,19.828125,59.484375,retractil
3,1,108,170.859375,54.84375,185.625,39.65625,19.828125,59.484375,retractil
4,3,108,474.840625,170.75625,355.975,19.34375,14.871875,34.215625,retractil
5,3,108,672.7189189189189,142.5081081081081,372.7783783783784,9.837837837837839,27.88108108108108,37.71891891891892,retractil
6,4,108,434.0079103493738,169.11140408701385,245.3533289386948,34.08899143045485,13.675016479894529,47.76400791034938,retractil
7,4,108,231.0731707317073,91.53048780487805,278.0182926829268,31.073170731707318,26.74390243902439,57.81707317073171,retractil
8,6,108,177.82608695652175,57.77173913043478,159.16304347826087,9.652173913043478,3.4565217391304346,13.108695652173914,retractil
9,6,108,54.39613526570048,26.367149758454104,240.08695652173913,41.68115942028986,13.154589371980677,54.835748792270536,retractil
10,2,108,5.8654970760233915,4.1988304093567255,187.73684210526315,183.43859649122805,6.2046783625731,189.6432748538012,retractil
11,7,108,11.912280701754387,7.912280701754386,98.26315789473685,62.228070175438596,10.68421052631579,72.91228070175438,articulada
12,9,84,0.0,0.0,54.0,15.0,6.0,21.0,articulada
