propietario,picking_lineas_2026,source_rank_actual,pasillos_actuales,n_pasillos_actual,span_pasillos_actual,owner_name,dest_rank_rotacion_2026,pasillos_destino,n_pasillos_destino,span_pasillos_destino,abc_2026,delta_pasillos,segundos_paseo_ahorrados_por_linea,horas_paseo_ahorradas_ytd,horas_paseo_ahorradas_anualizadas,ahorro_laboral_anual_eur
23,428,7.572429906542056,"7,8,9,10,11,12,13,14,15,16,18,19,20",13,13.0,MAHOU-MARKETING OCIO,1.0,1,1.0,0.0,A,6.572429906542056,17.63801189464741,2.096963636363636,6.958106611570248,153.07834545454546
3,405,7.881481481481481,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,14.0,ALHAMBRA,2.5,"1,2,3,4",4.0,3.0,A,5.381481481481481,14.441939393939393,1.6247181818181815,5.3911103305785115,118.60442727272725
4,373,9.176943699731904,"8,9,10,11,12,13,14,15,16,18,19,20",12,12.0,SOLAN,4.0,4,1.0,0.0,A,5.176943699731904,13.893034365098709,1.4394727272727272,4.776432231404959,105.0815090909091
30,351,9.626780626780628,"10,11,12,13,14,15,16,18,19,20",10,10.0,EVENTOS COMERCIALES,4.8,"4,5",2.0,1.0,A,4.826780626780628,12.953324009324012,1.262949090909091,4.190694710743802,92.19528363636365
95,243,8.069958847736626,"8,9,10,11,12,13,14,15,16,18,19,20",12,12.0,INNOVACION,5.0,5,1.0,0.0,A,3.0699588477366255,8.238653198653198,0.5561090909090909,1.8452710743801652,40.595963636363635
29,188,9.191489361702128,"8,9,10,11,12,13,14,15,18,19",10,11.0,MAHOU FUTBOL,6.0,6,1.0,0.0,A,3.1914893617021285,8.564796905222439,0.4472727272727274,1.4841322314049592,32.6509090909091
96,190,7.994736842105263,"6,8,9,10,11,12,13,14,15,18,19",11,13.0,VENUES,5.216216216216216,"5,6",2.0,1.0,A,2.7785206258890476,7.456538988749517,0.39353955773955784,1.3058358052267147,28.728387714987726
62,78,9.897435897435898,"12,15,16",3,4.0,MAHOU JOVEN,7.0,7,1.0,0.0,B,2.897435897435898,7.775664335664336,0.16847272727272727,0.5590231404958678,12.298509090909091
82,111,8.216216216216216,"8,11,12,13,14,15,16",7,8.0,BRUTUS DESARROLLO COMERCIAL,6.2439024390243905,"6,7",2.0,1.0,B,1.9723137771918253,5.292972972972971,0.16319999999999996,0.5415272727272726,11.913599999999999
86,39,10.153846153846153,"15,16",2,1.0,GOLF,8.0,8,1.0,0.0,B,2.1538461538461533,5.780139860139859,0.06261818181818181,0.2077785123966942,4.5711272727272725
6,121,6.479338842975206,"10,11,12,14,15,18",6,8.0,CRAFT,6.0,6,1.0,0.0,B,0.47933884297520635,1.2863711495116446,0.04323636363636361,0.14346611570247925,3.1562545454545434
90,30,9.866666666666667,"14,15",2,1.0,HUB CONTENIDO & ACTIVACION,8.0,8,1.0,0.0,C,1.8666666666666671,5.009454545454546,0.04174545454545455,0.13851900826446284,3.0474181818181822
89,64,8.53125,"10,11,15,16,18",5,8.0,BRAND MANAGEMENT MERCADO,7.75,"7,8",2.0,1.0,B,0.78125,2.096590909090909,0.03727272727272728,0.12367768595041324,2.720909090909091
77,24,9.666666666666666,"10,12,15",3,5.0,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,8.0,8,1.0,0.0,C,1.666666666666666,4.472727272727271,0.029818181818181806,0.09894214876033054,2.176727272727272
79,10,10.6,"10,15,20",3,10.0,SAN MIGUEL CORPORATIVO,9.0,9,1.0,0.0,C,1.5999999999999996,4.293818181818181,0.011927272727272726,0.03957685950413223,0.870690909090909
61,29,8.0,"8,9,10,11,14,15,18,19",8,11.0,MAHOU CORPORATIVO,8.0,8,1.0,0.0,C,0.0,0.0,0.0,0.0,0.0
32,1,5.0,10,1,0.0,MCC CENTRO - OESTE,11.0,11,1.0,0.0,C,-6.0,-16.10181818181818,-0.004472727272727272,-0.014841322314049585,-0.32650909090909086
7,1,4.0,9,1,0.0,CERVECISTAS,11.0,11,1.0,0.0,C,-7.0,-18.785454545454545,-0.005218181818181818,-0.01731487603305785,-0.3809272727272727
64,9,8.222222222222221,"11,15",2,4.0,CORONA,9.0,9,1.0,0.0,C,-0.7777777777777786,-2.087272727272729,-0.005218181818181823,-0.01731487603305787,-0.3809272727272731
46,4,8.5,"10,12,14,19",4,9.0,REFEEL,11.0,11,1.0,0.0,C,-2.5,-6.709090909090909,-0.007454545454545454,-0.024735537190082646,-0.5441818181818182
76,2,6.0,11,1,0.0,UNIDAD INTERNACIONAL MARKETING,11.0,11,1.0,0.0,C,-5.0,-13.418181818181818,-0.007454545454545454,-0.024735537190082646,-0.5441818181818182
12,9,7.777777777777778,"7,8,10,11,14,19,20",7,13.0,ESPACIOS CERVECERAS,9.0,9,1.0,0.0,C,-1.2222222222222223,-3.2800000000000002,-0.0082,-0.027209090909090912,-0.5986
74,3,7.333333333333333,"7,11,20",3,13.0,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,11.0,11,1.0,0.0,C,-3.666666666666667,-9.84,-0.0082,-0.027209090909090912,-0.5986
24,4,6.0,"8,10,11,15",4,7.0,MCC MADRID,10.228070175438596,"10,11",2.0,1.0,C,-4.228070175438596,-11.346602870813395,-0.012607336523125994,-0.04183343482673626,-0.9203355661881977
98,12,7.5,"11,13,20",3,9.0,MAHOU CANAL,9.0,9,1.0,0.0,C,-1.5,-4.025454545454545,-0.013418181818181819,-0.04452396694214877,-0.9795272727272729
5,110,6.836363636363636,"9,10,11,12,13,14,15,18,19,20",10,11.0,SAN MIGUEL,7.0,7,1.0,0.0,B,-0.16363636363636402,-0.43914049586776965,-0.01341818181818185,-0.04452396694214887,-0.9795272727272751
34,20,7.65,"10,11,12,13,14,15,20",7,10.0,CUENTAS NACIONALES,8.608695652173914,"8,9",2.0,1.0,C,-0.9586956521739136,-2.5727905138339935,-0.014293280632411075,-0.047427703916636754,-1.0434094861660086
14,5,1.6,"6,9",2,3.0,FUNDACION MAHOU SAN MIGUEL,9.555555555555555,"9,10",2.0,1.0,C,-7.955555555555556,-21.349818181818183,-0.029652525252525253,-0.09839247015610653,-2.1646343434343436
40,238,10.844537815126051,"10,11,14,15,16,18",6,8.0,,,,,,,,,,,
16,2,10.0,15,1,0.0,,,,,,,,,,,
87,1,10.0,15,1,0.0,,,,,,,,,,,
