propietario,owner_name,abc_picking_2026,batches_2026,lineas_2026,n_pasillos_actuales_batch_med,jump_actual_total,horas_ahorradas_compacto_base_anual,horas_ahorradas_rotacion_2026_base_anual,n_pasillos_destino_rotacion_2026,ahorro_personal_compacto_eur_anual,ahorro_personal_rotacion_2026_eur_anual
4,SOLAN,A,78,373,2.0641025641025643,400.0,17.531060606060606,22.121212121212125,1.0,385.68333333333334,486.66666666666674
23,MAHOU-MARKETING OCIO,A,78,428,2.0384615384615383,313.0,12.83030303030303,17.309848484848487,1.0,282.26666666666665,380.8166666666667
3,ALHAMBRA,A,81,405,2.049382716049383,301.0,11.945454545454545,13.106818181818182,4.0,262.8,288.35
95,INNOVACION,A,21,243,3.1904761904761907,220.0,9.622727272727273,12.166666666666668,1.0,211.70000000000002,267.6666666666667
30,EVENTOS COMERCIALES,A,51,351,1.9803921568627452,154.0,5.751515151515152,7.410606060606061,2.0,126.53333333333335,163.03333333333333
29,MAHOU FUTBOL,A,57,188,1.4736842105263157,120.0,5.1431818181818185,6.636363636363637,1.0,113.15,146.0
6,CRAFT,B,24,121,1.9166666666666667,102.0,4.424242424242425,5.6409090909090915,1.0,97.33333333333334,124.10000000000001
82,BRUTUS DESARROLLO COMERCIAL,B,17,111,2.1176470588235294,104.0,4.700757575757576,5.198484848484849,2.0,103.41666666666667,114.36666666666667
5,SAN MIGUEL,B,37,110,1.7567567567567568,92.0,3.5393939393939395,5.087878787878788,1.0,77.86666666666667,111.93333333333334
96,VENUES,A,41,190,1.5365853658536586,88.0,3.6500000000000004,4.203030303030303,2.0,80.30000000000001,92.46666666666667
12,ESPACIOS CERVECERAS,C,3,9,2.6666666666666665,32.0,1.4931818181818184,1.7696969696969698,1.0,32.85,38.93333333333334
61,MAHOU CORPORATIVO,C,9,29,1.6666666666666667,23.0,0.9401515151515152,1.271969696969697,1.0,20.683333333333334,27.983333333333334
34,CUENTAS NACIONALES,C,9,20,1.6666666666666667,22.0,0.8848484848484848,1.0507575757575758,2.0,19.466666666666665,23.116666666666667
74,EXPERIENCIA Y CRECIMIENTO DE CLIENTES,C,2,3,1.5,12.0,0.6083333333333333,0.6636363636363637,1.0,13.383333333333333,14.600000000000001
89,BRAND MANAGEMENT MERCADO,B,25,64,1.2,16.0,0.6083333333333334,0.6083333333333334,2.0,13.383333333333335,13.383333333333335
46,REFEEL,C,2,4,2.0,6.0,0.22121212121212122,0.33181818181818185,1.0,4.866666666666667,7.300000000000001
40,MARKETING INNOVACION JOSERRA,A,16,238,1.375,11.0,0.27651515151515155,0.27651515151515155,5.0,6.083333333333334,6.083333333333334
98,MAHOU CANAL,C,6,12,1.3333333333333333,4.0,0.11060606060606061,0.22121212121212122,1.0,2.4333333333333336,4.866666666666667
62,MAHOU JOVEN,B,26,78,1.0384615384615385,2.0,0.055303030303030305,0.11060606060606061,1.0,1.2166666666666668,2.4333333333333336
86,GOLF,B,3,39,1.3333333333333333,2.0,0.055303030303030305,0.11060606060606061,1.0,1.2166666666666668,2.4333333333333336
90,HUB CONTENIDO & ACTIVACION,C,11,30,1.0909090909090908,1.0,0.0,0.055303030303030305,1.0,0.0,1.2166666666666668
7,CERVECISTAS,C,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,FUNDACION MAHOU SAN MIGUEL,C,2,5,1.0,0.0,0.0,0.0,2.0,0.0,0.0
32,MCC CENTRO - OESTE,C,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,MCC MADRID,C,4,4,1.0,0.0,0.0,0.0,2.0,0.0,0.0
16,MAHOU-CRISTINA MENENDEZ,C,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
64,CORONA,C,2,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0
79,SAN MIGUEL CORPORATIVO,C,8,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,C,4,24,1.0,0.0,0.0,0.0,1.0,0.0,0.0
76,UNIDAD INTERNACIONAL MARKETING,C,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0
87,DCMC - ANA BELEN RUIZ,C,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0
