pasillo_destino,propietario,owner_name,rangos_suelo,rangos_fisicos,posicion_desde_global,posicion_hasta_global,posiciones_totales
1,23,MAHOU-MARKETING OCIO,001-013 (suelo_300) | 021-036 (suelo_300) | 040-069 (suelo_250) | 080-093 (suelo_250) | 094-108 (suelo_126),impar:001-025 | impar:041-071 | impar:079-107 | par:002-030 | par:052-078 | par:080-108,1,108,88
1,24,MCC MADRID,014-020 (suelo_300) | 037-039 (suelo_300) | 070-079 (suelo_250),impar:027-039 | impar:073-077 | par:032-050,14,79,20
2,3,ALHAMBRA,001-014 (suelo_300),impar:001-027,1,14,14
2,24,MCC MADRID,015-033 (suelo_300) | 034-035 (suelo_250) | 036-066 (suelo_250) | 067-072 (suelo_126) | 073-093 (suelo_126) | 094-096 (balda_9h) | 097-108 (normal),impar:029-065 | impar:067-069 | impar:071-107 | par:002-024 | par:026-036 | par:038-078 | par:080-084 | par:086-108,15,108,94
3,3,ALHAMBRA,001-016 (suelo_300) | 017-036 (suelo_300) | 037-080 (suelo_250) | 081-090 (suelo_250) | 091-105 (suelo_126) | 106-108 (suelo_126),impar:001-031 | impar:033-071 | impar:073-107 | par:002-052 | par:054-072 | par:074-102 | par:104-108,1,108,108
4,3,ALHAMBRA,001-021 (suelo_300) | 022-054 (suelo_250) | 055-084 (suelo_126) | 085-087 (balda_9h) | 088-108 (normal),impar:001-041 | impar:043-107 | par:002-060 | par:062-066 | par:068-108,1,108,108
5,3,ALHAMBRA,007-011 (suelo_300) | 040-048 (suelo_250) | 077-084 (suelo_126) | 100-103 (normal),impar:013-021 | impar:079-095 | par:046-060 | par:092-098,7,103,26
5,4,SOLAN,001-006 (suelo_300) | 012-024 (suelo_300) | 025-039 (suelo_250) | 049-066 (suelo_250) | 067-076 (suelo_126) | 085-096 (suelo_126) | 097-098 (balda_9h) | 099-099 (balda_9h) | 104-108 (normal),impar:001-011 | impar:023-047 | impar:049-077 | impar:097-107 | par:002-024 | par:026-044 | par:062-084 | par:086-088 | par:090 | par:100-108,1,108,82
6,4,SOLAN,021-021 (suelo_300) | 089-089 (suelo_126),impar:041 | par:070,21,89,2
6,5,SAN MIGUEL,010-020 (suelo_300) | 036-036 (suelo_300) | 057-060 (suelo_250),impar:019-039 | impar:071 | par:006-012,10,60,16
6,29,MAHOU FUTBOL,001-009 (suelo_300) | 022-028 (suelo_300) | 037-040 (suelo_250) | 061-073 (suelo_250) | 082-087 (suelo_126) | 090-094 (suelo_126) | 100-100 (balda_9h) | 101-101 (balda_9h) | 103-105 (normal),impar:001-017 | impar:043-055 | impar:073-079 | par:014-038 | par:056-066 | par:072-080 | par:092 | par:094 | par:098-102,1,105,49
6,82,BRUTUS DESARROLLO COMERCIAL,029-035 (suelo_300) | 041-056 (suelo_250) | 074-081 (suelo_250) | 088-088 (suelo_126) | 095-099 (suelo_126) | 102-102 (balda_9h) | 106-108 (normal),impar:057-069 | impar:081-107 | par:002-004 | par:040-054 | par:068 | par:082-090 | par:096 | par:104-108,29,108,41
7,5,SAN MIGUEL,003-013 (suelo_300) | 022-042 (suelo_250) | 051-061 (suelo_250) | 073-078 (suelo_126) | 083-088 (suelo_126) | 097-100 (balda_9h) | 108-108 (balda_9h),impar:005-025 | impar:043-083 | impar:101-107 | par:002-014 | par:038-048 | par:058-068 | par:086-092 | par:108,3,108,60
7,14,FUNDACION MAHOU SAN MIGUEL,001-002 (suelo_300) | 014-019 (suelo_300) | 043-045 (suelo_250) | 062-070 (suelo_250) | 079-079 (suelo_126) | 089-096 (suelo_126) | 101-107 (balda_9h),impar:001-003 | impar:027-037 | impar:085-089 | par:016-032 | par:050 | par:070-084 | par:094-106,1,107,36
7,30,EVENTOS COMERCIALES,020-021 (suelo_300) | 046-050 (suelo_250) | 071-072 (suelo_250) | 080-082 (suelo_126),impar:039-041 | impar:091-099 | par:034-036 | par:052-056,20,82,12
8,6,CRAFT,023-024 (suelo_300) | 057-060 (suelo_250) | 062-062 (suelo_126) | 086-087 (suelo_126) | 090-090 (balda_9h) | 093-093 (balda_9h) | 108-108 (normal),impar:045-047 | par:006-012 | par:016 | par:064-066 | par:072 | par:078 | par:108,23,108,12
8,7,CERVECISTAS,014-014 (suelo_300) | 043-043 (suelo_250) | 074-075 (suelo_126) | 101-101 (normal),impar:027 | impar:085 | par:040-042 | par:094,14,101,5
8,30,EVENTOS COMERCIALES,005-006 (suelo_300) | 029-031 (suelo_250) | 063-064 (suelo_126) | 094-094 (normal),impar:009-011 | impar:057-061 | par:018-020 | par:080,5,94,8
8,32,MCC CENTRO - OESTE,001-003 (suelo_300) | 015-016 (suelo_300) | 025-027 (suelo_250) | 044-046 (suelo_250) | 061-061 (suelo_126) | 076-077 (suelo_126) | 088-088 (balda_9h) | 102-102 (normal),impar:001-005 | impar:029-031 | impar:049-053 | impar:087-091 | par:014 | par:044-046 | par:068 | par:096,1,102,16
8,33,IPA,007-013 (suelo_300) | 032-042 (suelo_250) | 065-073 (suelo_126) | 091-091 (balda_9h) | 095-100 (normal),impar:013-025 | impar:063-083 | par:022-038 | par:074 | par:082-092,7,100,34
8,61,MAHOU CORPORATIVO,004-004 (suelo_300) | 017-022 (suelo_300) | 047-056 (suelo_250) | 078-085 (suelo_126) | 089-089 (balda_9h) | 092-092 (balda_9h) | 103-107 (normal),impar:007 | impar:033-043 | impar:093-107 | par:002-004 | par:048-062 | par:070 | par:076 | par:098-106,4,107,32
