pasillo_destino,lado_destino,posicion_fisica,posicion_visual,ubicacion_destino,tipologia,propietario,owner_name,owner_name_abc,picking_lineas_2026,picking_transacciones_2026,picking_unidades_2026,abc_picking_2026,owner_name_final,abc_visual,label_owner_abc
1,impar,1,1,001-001-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,3,3,001-003-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,5,5,001-005-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,7,7,001-007-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,9,9,001-009-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,11,11,001-011-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,13,13,001-013-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,15,15,001-015-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,17,17,001-017-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
1,impar,19,19,001-019-00,owner_block,23,MAHOU-MARKETING OCIO,MAHOU-MARKETING OCIO,428.0,108.0,69587.0,A,MAHOU-MARKETING OCIO,A,23 MAHOU-MARKETING OC
