pasillo_destino,suelo_300_posiciones,suelo_300_tramos,suelo_250_posiciones,suelo_250_tramos,suelo_126_posiciones,suelo_126_tramos,balda_9h_posiciones,balda_9h_tramos
1,39,impar:001-025 (23 MAHOU-MARKETING OCIO) | impar:027-039 (24 MCC MADRID) | impar:041-071 (23 MAHOU-MARKETING OCIO) | impar:073-077 (24 MCC MADRID),54,impar:079-107 | par:002-030 (23 MAHOU-MARKETING OCIO) | par:032-050 (24 MCC MADRID) | par:052-078 (23 MAHOU-MARKETING OCIO),15,par:080-108 (23 MAHOU-MARKETING OCIO),0,
2,33,impar:001-027 (3 ALHAMBRA) | impar:029-065 (24 MCC MADRID),33,impar:067-069 (24 MCC MADRID) | impar:071-107 | par:002-024 (24 MCC MADRID),27,par:026-036 (24 MCC MADRID) | par:038-078 (24 MCC MADRID),3,par:080-084 (24 MCC MADRID)
3,36,impar:001-031 (3 ALHAMBRA) | impar:033-071 (3 ALHAMBRA),54,impar:073-107 | par:002-052 (3 ALHAMBRA) | par:054-072 (3 ALHAMBRA),18,par:074-102 (3 ALHAMBRA) | par:104-108 (3 ALHAMBRA),0,
4,21,impar:001-041 (3 ALHAMBRA),33,impar:043-107 (3 ALHAMBRA),30,par:002-060 (3 ALHAMBRA),3,par:062-066 (3 ALHAMBRA)
5,24,impar:001-011 (4 SOLAN) | impar:013-021 (3 ALHAMBRA) | impar:023-047 (4 SOLAN),42,impar:049-077 (4 SOLAN) | impar:079-095 (3 ALHAMBRA) | impar:097-107 | par:002-024 (4 SOLAN),30,par:026-044 (4 SOLAN) | par:046-060 (3 ALHAMBRA) | par:062-084 (4 SOLAN),3,par:086-088 (4 SOLAN) | par:090 (4 SOLAN)
6,36,impar:001-017 (29 MAHOU FUTBOL) | impar:019-039 (5 SAN MIGUEL) | impar:041 (4 SOLAN) | impar:043-055 (29 MAHOU FUTBOL) | impar:057-069 (82 BRUTUS DESARROLLO COMERCIAL) | impar:071 (5 SAN MIGUEL),45,impar:073-079 (29 MAHOU FUTBOL) | impar:081-107 | par:002-004 (82 BRUTUS DESARROLLO COMERCIAL) | par:006-012 (5 SAN MIGUEL) | par:014-038 (29 MAHOU FUTBOL) | par:040-054 (82 BRUTUS DESARROLLO COMERCIAL),18,par:056-066 (29 MAHOU FUTBOL) | par:068 (82 BRUTUS DESARROLLO COMERCIAL) | par:070 (4 SOLAN) | par:072-080 (29 MAHOU FUTBOL) | par:082-090 (82 BRUTUS DESARROLLO COMERCIAL),3,par:092 (29 MAHOU FUTBOL) | par:094 (29 MAHOU FUTBOL) | par:096 (82 BRUTUS DESARROLLO COMERCIAL)
7,21,impar:001-003 (14 FUNDACION MAHOU SAN MIGUEL) | impar:005-025 (5 SAN MIGUEL) | impar:027-037 (14 FUNDACION MAHOU SAN MIGUEL) | impar:039-041 (30 EVENTOS COMERCIALES),51,impar:043-083 (5 SAN MIGUEL) | impar:085-089 (14 FUNDACION MAHOU SAN MIGUEL) | impar:091-099 (30 EVENTOS COMERCIALES) | impar:101-107 | par:002-014 (5 SAN MIGUEL) | par:016-032 (14 FUNDACION MAHOU SAN MIGUEL) | par:034-036 (30 EVENTOS COMERCIALES),24,par:038-048 (5 SAN MIGUEL) | par:050 (14 FUNDACION MAHOU SAN MIGUEL) | par:052-056 (30 EVENTOS COMERCIALES) | par:058-068 (5 SAN MIGUEL) | par:070-084 (14 FUNDACION MAHOU SAN MIGUEL),12,par:086-092 (5 SAN MIGUEL) | par:094-106 (14 FUNDACION MAHOU SAN MIGUEL) | par:108 (5 SAN MIGUEL)
8,24,impar:001-005 (32 MCC CENTRO - OESTE) | impar:007 (61 MAHOU CORPORATIVO) | impar:009-011 (30 EVENTOS COMERCIALES) | impar:013-025 (33 IPA) | impar:027 (7 CERVECISTAS) | impar:029-031 (32 MCC CENTRO - OESTE) | impar:033-043 (61 MAHOU CORPORATIVO) | impar:045-047 (6 CRAFT),36,impar:049-053 (32 MCC CENTRO - OESTE) | impar:055 (62 MAHOU JOVEN) | impar:057-061 (30 EVENTOS COMERCIALES) | impar:063-083 (33 IPA) | impar:085 (7 CERVECISTAS) | impar:087-091 (32 MCC CENTRO - OESTE) | impar:093-107 | par:002-004 (61 MAHOU CORPORATIVO) | par:006-012 (6 CRAFT),27,par:014 (32 MCC CENTRO - OESTE) | par:016 (6 CRAFT) | par:018-020 (30 EVENTOS COMERCIALES) | par:022-038 (33 IPA) | par:040-042 (7 CERVECISTAS) | par:044-046 (32 MCC CENTRO - OESTE) | par:048-062 (61 MAHOU CORPORATIVO) | par:064-066 (6 CRAFT),6,par:068 (32 MCC CENTRO - OESTE) | par:070 (61 MAHOU CORPORATIVO) | par:072 (6 CRAFT) | par:074 (33 IPA) | par:076 (61 MAHOU CORPORATIVO) | par:078 (6 CRAFT)
9,33,impar:001-017 (64 CORONA) | impar:019 (89 BRAND MANAGEMENT MERCADO) | impar:021-025 (34 CUENTAS NACIONALES) | impar:027-033 (62 MAHOU JOVEN) | impar:035-043 (64 CORONA) | impar:045 (49 MAHOU - SANDRINE GIRAUD) | impar:047-049 (89 BRAND MANAGEMENT MERCADO) | impar:051-065 (34 CUENTAS NACIONALES),54,impar:067-075 (62 MAHOU JOVEN) | impar:077-085 (64 CORONA) | impar:087-097 (89 BRAND MANAGEMENT MERCADO) | impar:099-107 | par:002-038 (34 CUENTAS NACIONALES) | par:040-046 (62 MAHOU JOVEN) | par:048-058 (64 CORONA) | par:060 (49 MAHOU - SANDRINE GIRAUD) | par:062 (89 BRAND MANAGEMENT MERCADO) | par:064-066 (34 CUENTAS NACIONALES),18,par:068-070 (62 MAHOU JOVEN) | par:072 (64 CORONA) | par:074-076 (89 BRAND MANAGEMENT MERCADO) | par:078-080 (34 CUENTAS NACIONALES) | par:082-084 (62 MAHOU JOVEN) | par:086-098 (64 CORONA) | par:100-102 (49 MAHOU - SANDRINE GIRAUD),3,par:104 (62 MAHOU JOVEN) | par:106-108 (64 CORONA)
10,24,impar:001-007 (96 VENUES) | impar:009-011 (71 BUDWEISER) | impar:013 (34 CUENTAS NACIONALES) | impar:015-039 (96 VENUES) | impar:041 (71 BUDWEISER) | impar:043-047 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD),45,impar:049-071 (96 VENUES) | impar:073-079 (71 BUDWEISER) | impar:081-085 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD) | impar:087-091 (34 CUENTAS NACIONALES) | impar:093-107 | par:002-020 (96 VENUES) | par:022 (71 BUDWEISER) | par:024-030 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD),24,par:032-044 (96 VENUES) | par:046-048 (71 BUDWEISER) | par:050-052 (34 CUENTAS NACIONALES) | par:054-072 (96 VENUES) | par:074-078 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD),6,par:080-086 (96 VENUES) | par:088-090 (77 ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD)
