pasillo_destino,posicion_desde,posicion_hasta,tipologia,propietario,owner_name,tipo_bloque,padding_modulo_3eu,lado_destino,tramo_fisico
1,1,13,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:001-025
1,14,20,suelo_300,24,MCC MADRID,especial,0,impar,impar:027-039
1,21,36,suelo_300,23,MAHOU-MARKETING OCIO,especial,0,impar,impar:041-071
1,37,39,suelo_300,24,MCC MADRID,especial,0,impar,impar:073-077
1,40,69,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,impar | par,impar:079-107 | par:002-030
1,70,79,suelo_250,24,MCC MADRID,especial,0,par,par:032-050
1,80,93,suelo_250,23,MAHOU-MARKETING OCIO,especial,0,par,par:052-078
1,94,108,suelo_126,23,MAHOU-MARKETING OCIO,especial,0,par,par:080-108
2,1,14,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-027
2,15,33,suelo_300,24,MCC MADRID,especial,0,impar,impar:029-065
2,34,35,suelo_250,24,MCC MADRID,especial,0,impar,impar:067-069
2,36,66,suelo_250,24,MCC MADRID,especial,0,impar | par,impar:071-107 | par:002-024
2,67,72,suelo_126,24,MCC MADRID,especial,0,par,par:026-036
2,73,93,suelo_126,24,MCC MADRID,especial,0,par,par:038-078
2,94,96,balda_9h,24,MCC MADRID,especial,0,par,par:080-084
2,97,108,normal,24,MCC MADRID,normal,0,par,par:086-108
3,1,16,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-031
3,17,36,suelo_300,3,ALHAMBRA,especial,0,impar,impar:033-071
3,37,80,suelo_250,3,ALHAMBRA,especial,0,impar | par,impar:073-107 | par:002-052
3,81,90,suelo_250,3,ALHAMBRA,especial,0,par,par:054-072
3,91,105,suelo_126,3,ALHAMBRA,especial,0,par,par:074-102
3,106,108,suelo_126,3,ALHAMBRA,especial,0,par,par:104-108
4,1,21,suelo_300,3,ALHAMBRA,especial,0,impar,impar:001-041
4,22,54,suelo_250,3,ALHAMBRA,especial,0,impar,impar:043-107
4,55,84,suelo_126,3,ALHAMBRA,especial,0,par,par:002-060
4,85,87,balda_9h,3,ALHAMBRA,especial,0,par,par:062-066
4,88,108,normal,3,ALHAMBRA,normal,0,par,par:068-108
5,1,6,suelo_300,4,SOLAN,especial,0,impar,impar:001-011
5,7,11,suelo_300,3,ALHAMBRA,especial,0,impar,impar:013-021
5,12,24,suelo_300,4,SOLAN,especial,0,impar,impar:023-047
5,25,39,suelo_250,4,SOLAN,especial,0,impar,impar:049-077
5,40,48,suelo_250,3,ALHAMBRA,especial,0,impar,impar:079-095
5,49,66,suelo_250,4,SOLAN,especial,0,impar | par,impar:097-107 | par:002-024
5,67,76,suelo_126,4,SOLAN,especial,0,par,par:026-044
5,77,84,suelo_126,3,ALHAMBRA,especial,0,par,par:046-060
5,85,96,suelo_126,4,SOLAN,especial,0,par,par:062-084
5,97,98,balda_9h,4,SOLAN,especial,0,par,par:086-088
5,99,99,balda_9h,4,SOLAN,especial,0,par,par:090
5,100,103,normal,3,ALHAMBRA,normal,0,par,par:092-098
5,104,108,normal,4,SOLAN,normal,0,par,par:100-108
6,1,9,suelo_300,29,MAHOU FUTBOL,especial,0,impar,impar:001-017
6,10,20,suelo_300,5,SAN MIGUEL,especial,0,impar,impar:019-039
6,21,21,suelo_300,4,SOLAN,especial,0,impar,impar:041
6,22,28,suelo_300,29,MAHOU FUTBOL,especial,0,impar,impar:043-055
6,29,35,suelo_300,82,BRUTUS DESARROLLO COMERCIAL,especial,0,impar,impar:057-069
6,36,36,suelo_300,5,SAN MIGUEL,especial,0,impar,impar:071
6,37,40,suelo_250,29,MAHOU FUTBOL,especial,0,impar,impar:073-079
6,41,56,suelo_250,82,BRUTUS DESARROLLO COMERCIAL,especial,0,impar | par,impar:081-107 | par:002-004
6,57,60,suelo_250,5,SAN MIGUEL,especial,0,par,par:006-012
6,61,73,suelo_250,29,MAHOU FUTBOL,especial,0,par,par:014-038
6,74,81,suelo_250,82,BRUTUS DESARROLLO COMERCIAL,especial,0,par,par:040-054
6,82,87,suelo_126,29,MAHOU FUTBOL,especial,0,par,par:056-066
6,88,88,suelo_126,82,BRUTUS DESARROLLO COMERCIAL,especial,0,par,par:068
6,89,89,suelo_126,4,SOLAN,especial,0,par,par:070
6,90,94,suelo_126,29,MAHOU FUTBOL,especial,0,par,par:072-080
6,95,99,suelo_126,82,BRUTUS DESARROLLO COMERCIAL,especial,0,par,par:082-090
6,100,100,balda_9h,29,MAHOU FUTBOL,especial,0,par,par:092
6,101,101,balda_9h,29,MAHOU FUTBOL,especial,0,par,par:094
6,102,102,balda_9h,82,BRUTUS DESARROLLO COMERCIAL,especial,0,par,par:096
6,103,105,normal,29,MAHOU FUTBOL,normal,0,par,par:098-102
6,106,108,normal,82,BRUTUS DESARROLLO COMERCIAL,normal,0,par,par:104-108
7,1,2,suelo_300,14,FUNDACION MAHOU SAN MIGUEL,especial,0,impar,impar:001-003
7,3,13,suelo_300,5,SAN MIGUEL,especial,0,impar,impar:005-025
7,14,19,suelo_300,14,FUNDACION MAHOU SAN MIGUEL,especial,0,impar,impar:027-037
7,20,21,suelo_300,30,EVENTOS COMERCIALES,especial,0,impar,impar:039-041
7,22,42,suelo_250,5,SAN MIGUEL,especial,0,impar,impar:043-083
7,43,45,suelo_250,14,FUNDACION MAHOU SAN MIGUEL,especial,0,impar,impar:085-089
7,46,50,suelo_250,30,EVENTOS COMERCIALES,especial,0,impar,impar:091-099
7,51,61,suelo_250,5,SAN MIGUEL,especial,0,impar | par,impar:101-107 | par:002-014
7,62,70,suelo_250,14,FUNDACION MAHOU SAN MIGUEL,especial,0,par,par:016-032
7,71,72,suelo_250,30,EVENTOS COMERCIALES,especial,0,par,par:034-036
7,73,78,suelo_126,5,SAN MIGUEL,especial,0,par,par:038-048
7,79,79,suelo_126,14,FUNDACION MAHOU SAN MIGUEL,especial,0,par,par:050
7,80,82,suelo_126,30,EVENTOS COMERCIALES,especial,0,par,par:052-056
7,83,88,suelo_126,5,SAN MIGUEL,especial,0,par,par:058-068
7,89,96,suelo_126,14,FUNDACION MAHOU SAN MIGUEL,especial,0,par,par:070-084
7,97,100,balda_9h,5,SAN MIGUEL,especial,0,par,par:086-092
7,101,107,balda_9h,14,FUNDACION MAHOU SAN MIGUEL,especial,0,par,par:094-106
7,108,108,balda_9h,5,SAN MIGUEL,especial,0,par,par:108
8,1,3,suelo_300,32,MCC CENTRO - OESTE,especial,0,impar,impar:001-005
8,4,4,suelo_300,61,MAHOU CORPORATIVO,especial,0,impar,impar:007
8,5,6,suelo_300,30,EVENTOS COMERCIALES,especial,0,impar,impar:009-011
8,7,13,suelo_300,33,IPA,especial,0,impar,impar:013-025
8,14,14,suelo_300,7,CERVECISTAS,especial,0,impar,impar:027
8,15,16,suelo_300,32,MCC CENTRO - OESTE,especial,0,impar,impar:029-031
8,17,22,suelo_300,61,MAHOU CORPORATIVO,especial,0,impar,impar:033-043
8,23,24,suelo_300,6,CRAFT,especial,0,impar,impar:045-047
8,25,27,suelo_250,32,MCC CENTRO - OESTE,especial,0,impar,impar:049-053
8,28,28,suelo_250,62,MAHOU JOVEN,especial,0,impar,impar:055
8,29,31,suelo_250,30,EVENTOS COMERCIALES,especial,0,impar,impar:057-061
8,32,42,suelo_250,33,IPA,especial,0,impar,impar:063-083
8,43,43,suelo_250,7,CERVECISTAS,especial,0,impar,impar:085
8,44,46,suelo_250,32,MCC CENTRO - OESTE,especial,0,impar,impar:087-091
8,47,56,suelo_250,61,MAHOU CORPORATIVO,especial,0,impar | par,impar:093-107 | par:002-004
8,57,60,suelo_250,6,CRAFT,especial,0,par,par:006-012
8,61,61,suelo_126,32,MCC CENTRO - OESTE,especial,0,par,par:014
8,62,62,suelo_126,6,CRAFT,especial,0,par,par:016
8,63,64,suelo_126,30,EVENTOS COMERCIALES,especial,0,par,par:018-020
8,65,73,suelo_126,33,IPA,especial,0,par,par:022-038
8,74,75,suelo_126,7,CERVECISTAS,especial,0,par,par:040-042
8,76,77,suelo_126,32,MCC CENTRO - OESTE,especial,0,par,par:044-046
8,78,85,suelo_126,61,MAHOU CORPORATIVO,especial,0,par,par:048-062
8,86,87,suelo_126,6,CRAFT,especial,0,par,par:064-066
8,88,88,balda_9h,32,MCC CENTRO - OESTE,especial,0,par,par:068
8,89,89,balda_9h,61,MAHOU CORPORATIVO,especial,0,par,par:070
8,90,90,balda_9h,6,CRAFT,especial,0,par,par:072
8,91,91,balda_9h,33,IPA,especial,0,par,par:074
8,92,92,balda_9h,61,MAHOU CORPORATIVO,especial,0,par,par:076
8,93,93,balda_9h,6,CRAFT,especial,0,par,par:078
8,94,94,normal,30,EVENTOS COMERCIALES,normal,0,par,par:080
8,95,100,normal,33,IPA,normal,0,par,par:082-092
8,101,101,normal,7,CERVECISTAS,normal,0,par,par:094
8,102,102,normal,32,MCC CENTRO - OESTE,normal,0,par,par:096
8,103,107,normal,61,MAHOU CORPORATIVO,normal,0,par,par:098-106
8,108,108,normal,6,CRAFT,normal,0,par,par:108
9,1,9,suelo_300,64,CORONA,especial,0,impar,impar:001-017
9,10,10,suelo_300,89,BRAND MANAGEMENT MERCADO,especial,0,impar,impar:019
9,11,13,suelo_300,34,CUENTAS NACIONALES,especial,0,impar,impar:021-025
9,14,17,suelo_300,62,MAHOU JOVEN,especial,0,impar,impar:027-033
9,18,22,suelo_300,64,CORONA,especial,0,impar,impar:035-043
9,23,23,suelo_300,49,MAHOU - SANDRINE GIRAUD,especial,0,impar,impar:045
9,24,25,suelo_300,89,BRAND MANAGEMENT MERCADO,especial,0,impar,impar:047-049
