pasillo_destino,propietario,tipologia,mandatory_positions
2,3,suelo_300,14
3,3,suelo_300,16
3,3,suelo_250,44
3,3,suelo_126,15
3,3,balda_9h,15
5,4,suelo_300,6
5,4,suelo_250,15
5,4,suelo_126,10
5,4,balda_9h,2
6,5,suelo_300,11
6,5,suelo_250,5
7,5,suelo_250,21
7,5,suelo_126,6
7,5,balda_9h,4
8,6,suelo_126,1
8,6,balda_9h,1
12,12,suelo_250,2
7,14,suelo_300,2
7,14,suelo_250,3
7,14,suelo_126,1
7,14,balda_9h,7
1,23,suelo_300,13
1,23,suelo_250,30
1,23,suelo_126,22
1,23,balda_9h,4
1,24,suelo_300,7
1,24,suelo_250,13
2,24,suelo_250,2
2,24,suelo_126,6
6,29,suelo_300,9
6,29,suelo_250,4
6,29,suelo_126,6
6,29,balda_9h,1
7,30,suelo_250,5
7,30,suelo_126,5
7,30,balda_9h,1
8,32,suelo_300,3
8,32,suelo_250,3
8,32,suelo_126,1
8,32,balda_9h,1
9,34,suelo_300,3
9,34,suelo_250,24
9,34,suelo_126,7
9,34,balda_9h,3
12,37,suelo_250,4
12,51,suelo_300,1
8,61,suelo_300,1
8,61,balda_9h,1
8,62,suelo_250,1
9,62,suelo_250,5
9,62,suelo_126,2
9,64,suelo_300,9
9,64,suelo_250,5
9,64,suelo_126,1
10,71,suelo_300,2
10,71,suelo_250,4
10,71,suelo_126,2
11,74,suelo_300,1
11,74,suelo_250,2
12,74,suelo_250,3
11,76,suelo_300,7
11,76,suelo_250,8
11,76,suelo_126,1
11,76,balda_9h,1
10,77,suelo_250,3
10,77,balda_9h,2
12,79,balda_9h,1
11,80,suelo_250,1
11,80,suelo_126,2
6,82,suelo_250,16
6,82,suelo_126,1
12,86,suelo_300,1
12,86,suelo_126,1
9,89,suelo_300,1
9,89,suelo_250,6
9,89,suelo_126,2
9,89,balda_9h,1
11,90,suelo_300,1
11,90,suelo_250,1
11,90,balda_9h,1
11,95,suelo_300,6
11,95,suelo_250,1
11,95,balda_9h,1
10,96,suelo_300,4
10,96,suelo_250,12
10,96,suelo_126,7
10,96,balda_9h,4
11,98,suelo_300,2
11,98,suelo_250,3
11,98,suelo_126,2
