pasillo_destino,tipologia,target_positions
1,suelo_300,39
1,suelo_250,54
1,suelo_126,15
1,balda_9h,0
2,suelo_300,33
2,suelo_250,33
2,suelo_126,27
2,balda_9h,3
3,suelo_300,36
3,suelo_250,54
3,suelo_126,18
3,balda_9h,0
4,suelo_300,21
4,suelo_250,33
4,suelo_126,30
4,balda_9h,3
5,suelo_300,24
5,suelo_250,42
5,suelo_126,30
5,balda_9h,3
6,suelo_300,36
6,suelo_250,45
6,suelo_126,18
6,balda_9h,3
7,suelo_300,21
7,suelo_250,51
7,suelo_126,24
7,balda_9h,12
8,suelo_300,24
8,suelo_250,36
8,suelo_126,27
8,balda_9h,6
9,suelo_300,33
9,suelo_250,54
9,suelo_126,18
9,balda_9h,3
10,suelo_300,24
10,suelo_250,45
10,suelo_126,24
10,balda_9h,6
11,suelo_300,33
11,suelo_250,39
11,suelo_126,21
11,balda_9h,6
12,suelo_300,18
12,suelo_250,30
12,suelo_126,21
12,balda_9h,6
