granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
year,2022,5633.0,2.52458725368365,aggregate_transactions,,,,,,,,,,
year,2023,6735.0,2.461915367483296,aggregate_transactions,,,,,,,,,,
year,2024,7767.0,2.320844598944251,aggregate_transactions,,,,,,,,,,
year,2026,985.0,2.216243654822335,aggregate_transactions,,,,,,,,,,
quarter,2022Q1,1102.0,2.484573502722323,aggregate_transactions,,,,,,,,,,
quarter,2022Q2,1420.0,2.8288732394366196,aggregate_transactions,,,,,,,,,,
quarter,2022Q3,1349.0,2.7909562638991847,aggregate_transactions,,,,,,,,,,
quarter,2022Q4,1762.0,2.1004540295119183,aggregate_transactions,,,,,,,,,,
quarter,2023Q1,1248.0,2.1947115384615383,aggregate_transactions,,,,,,,,,,
quarter,2023Q2,1916.0,2.374739039665971,aggregate_transactions,,,,,,,,,,
quarter,2023Q3,1470.0,2.6170068027210887,aggregate_transactions,,,,,,,,,,
quarter,2023Q4,2101.0,2.5916230366492146,aggregate_transactions,,,,,,,,,,
quarter,2024Q1,1932.0,1.8731884057971016,aggregate_transactions,,,,,,,,,,
quarter,2024Q2,2552.0,2.210423197492163,aggregate_transactions,,,,,,,,,,
quarter,2024Q3,1688.0,2.758293838862559,aggregate_transactions,,,,,,,,,,
quarter,2024Q4,1595.0,2.5768025078369905,aggregate_transactions,,,,,,,,,,
quarter,2026Q1,985.0,2.216243654822335,aggregate_transactions,,,,,,,,,,
month,2022-01,341.0,2.69208211143695,aggregate_transactions,,,,,,,,,,
month,2022-02,281.0,2.316725978647687,aggregate_transactions,,,,,,,,,,
month,2022-03,480.0,2.435416666666667,aggregate_transactions,,,,,,,,,,
month,2022-04,306.0,3.1209150326797386,aggregate_transactions,,,,,,,,,,
month,2022-05,494.0,2.874493927125506,aggregate_transactions,,,,,,,,,,
month,2022-06,620.0,2.6483870967741936,aggregate_transactions,,,,,,,,,,
month,2022-07,527.0,2.586337760910816,aggregate_transactions,,,,,,,,,,
month,2022-08,248.0,3.5080645161290325,aggregate_transactions,,,,,,,,,,
month,2022-09,574.0,2.6689895470383274,aggregate_transactions,,,,,,,,,,
